pos#rider#bike#ana#sdi#ana.1#hou#gle#points
1#Hunter Lawrence#Honda#4#2#2#2#2#106
2#Ken Roczen#Suzuki#2#3#8#3#1#101
3#Eli Tomac#KTM#1#1#3#4#12#98
4#Cooper Webb#Yamaha#7#8#5#1#3#91
5#Chase Sexton#Kawasaki#8#4#1#5#7#89
6#Justin Cooper#Yamaha#6#6#10#9#4#75
7#Jorge Prado#KTM#3[a]#13#7#7#5#73
8#Jason Anderson#Suzuki#5#11#4#6#11#73
9#Joey Savatgy#Honda#13#5#6#14#6#66
10#Dylan Ferrandis#Ducati#9#9#11#10#9#62
11#Aaron Plessinger#KTM#10#7#Ret#13#8#50
12#Christian Craig#Honda#11#15#13#12#14#45
13#Justin Hill#KTM#14#14#15#17#10#40
14#RJ Hampshire#Husqvarna#18#12#9#11#DNQ#38
15#Malcolm Stewart#Husqvarna#Ret#10#12#8#Ret#36
16#Colt Nichols#Suzuki#12#16#16#16#16#34
17#Garrett Marchbanks#Kawasaki#DNQ#<NA>#14#15#13#24
18#Shane McElrath#Honda#17#18#18#18#15#24
19#Vince Friese#Kawasaki#19#17#19[b]#19#17#14
20#Austin Forkner#Triumph#15#DNQ#17#<NA>#<NA>#12
21#Mitchell Harrison#Kawasaki#20#20#20#20#19#11
22#Mitchell Oldenburg#Beta#16#DNQ#<NA>#<NA>#<NA>#6
23#Fredrik Norén#Yamaha#DNQ#DNQ#DNQ#DNQ#18#4
24#Kevin Moranz#KTM#DNQ#19#DNQ#DNQ#DNQ#3
25#Grant Harlan#KTM#DNQ#21#DNQ#DNQ#20#3
26#Tristan Lane#Yamaha#DNQ#DNQ#DNQ#21#DNQ#1
27#Josh Cartwright#Kawasaki#DNQ#DNQ#DNQ#DNQ#21#1
28#Justin Barcia#Ducati#21#<NA>#<NA>#<NA>#<NA>#1
29#Ryan Breece#Honda#<NA>#<NA>#21#<NA>#<NA>#1
<NA>#Max Miller#Kawasaki#DNQ#22#DNQ#DNQ#DNQ#0
<NA>#Cade Clason#Kawasaki#DNQ#DNQ#DNQ#22#<NA>#0
<NA>#Scott Meshey#Husqvarna#DNQ#DNQ#DNQ#DNQ#DNQ#0
<NA>#Zack Williams#Honda#DNQ#DNQ#DNQ#DNQ#DNQ#0
<NA>#Josh Greco#Kawasaki#DNQ#DNQ#DNQ#DNQ#DNQ#0
<NA>#Bobby Piazza#Yamaha#DNQ#DNQ#DNQ#DNQ#DNQ#0
<NA>#Logan Leitzel#Kawasaki#DNQ#DNQ#DNQ#DNQ#<NA>#0
<NA>#Romain Pape#Yamaha#DNQ#DNQ#DNQ#<NA>#DNQ#0
<NA>#David Pulley#Yamaha#DNQ#DNQ#DNQ#<NA>#DNQ#0
<NA>#Dylan Woodcock#Triumph#DNQ#DNQ#DNQ#<NA>#<NA>#0
<NA>#Robert Hailey III#Yamaha#DNQ#DNQ#DNQ#<NA>#<NA>#0
<NA>#Anton Nordström#KTM#DNQ#<NA>#DNQ#<NA>#DNQ#0
<NA>#Logan Karnow#Kawasaki#DNQ#DNQ#<NA>#<NA>#<NA>#0
<NA>#Dayton Briggs#KTM#DNQ#DNQ#<NA>#<NA>#<NA>#0
<NA>#Stephen Rubini#Yamaha#DNQ#DNQ#<NA>#<NA>#<NA>#0
<NA>#Konnor Visger#Beta#DNQ#DNQ#<NA>#<NA>#<NA>#0
<NA>#Justin Aragaki#Husqvarna#<NA>#DNQ#DNQ#<NA>#<NA>#0
