pos#num#player#goals#min#ast#spr
W#2#Dušan Mandić#4/8#20:50#1#<NA>
W#3#Strahinja Rašović#0/2#10:13#1#<NA>
DF#4#Sava Ranđelović#0/1#7:23#0#<NA>
W#5#Miloš Ćuk#DNP#DNP#DNP#DNP
CF#6#Đorđe Lazić#1/2#12:12#0#<NA>
W#7#Radomir Drašović#1/2#3:41#0#<NA>
W#8#Nikola Jakšić#0/2#27:21#1#<NA>
CF#9#Nemanja Vico#1/1#9:51#0#<NA>
W#10#Nikola Dedović#0/2#9:52#0#<NA>
DF#11#Petar Jakšić#0#6:42#0#<NA>
DF#12#Viktor Rašović#0/1#22:57#1#<NA>
W#14#Vasilije Martinović#1/4#29:56#1#1/4
W#15#Nikola Lukić#2/7#26:39#1#<NA>
Goalkeepers#Goalkeepers#Goalkeepers#Goalkeepers#Goalkeepers#Goalkeepers#Goalkeepers
Num#Player#Player#Save#Save#Min#Goals
1#Radoslav Filipović#Radoslav Filipović#DNP#DNP#DNP#DNP
13#Milan Glušac#Milan Glušac#11/18%#11/18%#32:00#0
Head coach#Head coach#Head coach#Head coach#Head coach#Head coach#Head coach
Uroš Stevanović#Uroš Stevanović#Uroš Stevanović#Uroš Stevanović#Uroš Stevanović#Uroš Stevanović#Uroš Stevanović
