pos_pos#driver_driver#est_r1#est_r2#est_r3#por_r1#por_r2#por_r3#pts_pts
1#Dries Van Langendonck#1#2#22#7#1#1#108
2#Ary Bansal#28#5#4#1#5#6#66
3#Oleksandr Savinkov#26#7#1#5#14#2#59
4#Rocco Coronel#12#1#17#4#4#9#52
5#Thomas Bearman#11#3#20#2#7#7#45
6#Ethan Lennon#30#4#24#8#3#4#45
7#Alfie Slater#2#16#27#Ret#2#8#40
8#Aleksander Ruta#27#6#25#6#6#5#34
9#Levi Arn#3#29†#7#23#17#15#21
10#Ludovico Busso#10#12#10#9#9#3#21
11#Chiara Bättig#16#17#2#21#26#21#18
12#Teodor Borenstein#22#14#18#3#10#14#16
13#Mathilda Paatz#23#23#3#20#27#24#15
14#Alisha Palmowski#4#11#15#<NA>#<NA>#<NA>#12
15#Noah Killion#5#19#Ret#10#11#13#11
16#Vittorio Orsini#18#26#5#25#32#Ret#10
17#Samuel Ifrid#17#10#6#13#12#10#10
18#Arjen Kräling#6#27#13#18#15#12#9
19#Pedro Lima#24#8#23#Ret#8#11#8
20#Felipe Reijs#7#13#16#28#20#19#6
21#Tomas Rudokas#8#25#14#16#21#Ret#4
22#Andre Rodriguez#20#18#8#14#16#Ret#4
23#Oscar Repetto#13#9#21#<NA>#<NA>#<NA>#2
24#Ginevra Panzeri#9#24#Ret#24#29#26#2
25#Abdullah Ayman Kamel#31†#28#9#29#24#22#2
26#Roman Kamyab#25#21#11#11#13#17#0
27#Maximilian Kammerlander#14#22#12#15#18#23#0
28#Markas Šilkūnas#15#15#Ret#12#19#DNS#0
29#Nicolás Cortés#<NA>#<NA>#<NA>#17#Ret#16#0
30#Emmilio Valentino Del Grosso#<NA>#<NA>#<NA>#Ret#31#18#0
31#Georgiy Zasov#19#30†#26#<NA>#<NA>#<NA>#0
32#Rafaela Ferreira#21#20#19#<NA>#<NA>#<NA>#0
33#Leon Hedfors#<NA>#<NA>#<NA>#19#30#27#0
34#Zoe Florescu#<NA>#<NA>#<NA>#Ret#22#20#0
35#Viktor Snebjørn Poulsen#29#Ret#Ret#22#23#29#0
36#Alexandre Louza#<NA>#<NA>#<NA>#27#25#28#0
37#Ella Stevens#<NA>#<NA>#<NA>#26#28#25#0
Pos#Driver#R1#R2#R3#R1#R2#R3#Pts
Pos#Driver#EST#EST#EST#POR#POR#POR#Pts
