name#number#latitude#longitude
Ogma#Je1#65-90° N#0-360° W
Murias Chaos#Je2#21-66° N#0-90° W
Tyre#Je3#21-66° N#90-180° W
Rhadamanthys Linea#Je4#21-66° N#180-270° W
Annwn Regio#Je5#21-66° N#270-360° W
Euphemus Linea#Je6#22° N-22° S#0-72° W
Brigid#Je7#22° N-22° S#72-144° W
Cilix#Je8#22° N-22° S#144-216° W
Castalia Macula#Je9#22° N-22° S#216-288° W
Callanish#Je10#22° N-22° S#288-360° W
Butterdon Linea#Je11#21-66° S#0-90° W
Taliesin#Je12#21-66° S#90-180° W
Agenor Linea#Je13#21-66° S#180-270° W
Pwyll#Je14#21-66° S#270-360° W
Sidon Flexus#Je15#65-90° S#0-360° W
