event#gold#silver#bronze
Extra-lightweight (−60 kg)#Ahmad Yusifov [ru] (AZE)#Balabay Aghayev (AZE)#Taiki Nakamura [ja] (JPN)
Extra-lightweight (−60 kg)#Ahmad Yusifov [ru] (AZE)#Balabay Aghayev (AZE)#Doston Ruziev (UZB)
Half-lightweight (−66 kg)#Hifumi Abe (JPN)#Shinsei Hattori [ja] (JPN)#Nurali Emomali (TJK)
Half-lightweight (−66 kg)#Hifumi Abe (JPN)#Shinsei Hattori [ja] (JPN)#Abdullakh Parchiev (RUS)
Lightweight (−73 kg)#Orif Abdulloi (TJK)#Shakhram Ahadov (UZB)#Elbek Tojiev (UZB)
Lightweight (−73 kg)#Orif Abdulloi (TJK)#Shakhram Ahadov (UZB)#Shusuke Uchimura [ja] (JPN)
Half-middleweight (−81 kg)#Omar Rajabli (AZE)#Abdul-Kerim Tasuev [ru] (RUS)#Sotaro Fujiwara (JPN)
Half-middleweight (−81 kg)#Omar Rajabli (AZE)#Abdul-Kerim Tasuev [ru] (RUS)#Murodjon Yuldoshev (UZB)
Middleweight (−90 kg)#Murad Fatiyev (AZE)#Lasha Bekauri (GEO)#Kim Jong-hoon [pl] (KOR)
Middleweight (−90 kg)#Murad Fatiyev (AZE)#Lasha Bekauri (GEO)#Riku Okada [ja] (JPN)
Half-heavyweight (−100 kg)#Said Sadrudinov [ru] (BHR)#Ernazar Sarsenbaev (UZB)#Han Ju-yeop (KOR)
Half-heavyweight (−100 kg)#Said Sadrudinov [ru] (BHR)#Ernazar Sarsenbaev (UZB)#Zelym Kotsoiev (AZE)
Heavyweight (+100 kg)#Kanan Nasibov (AZE)#Alisher Yusupov (UZB)#Mikita Sviryd (CRO)
Heavyweight (+100 kg)#Kanan Nasibov (AZE)#Alisher Yusupov (UZB)#Dzhamal Gamzatkhanov [ru] (AZE)
