ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[11]_nationwide#average_audience_share_(nielsen_korea)[11]_seoul
1#February 2, 2026#3.130% (2nd)#2.881% (2nd)
2#February 3, 2026#3.236% (2nd)#3.038% (2nd)
3#February 9, 2026#3.758% (2nd)#3.447% (2nd)
4#February 10, 2026#3.259% (2nd)#3.336% (2nd)
5#February 16, 2026#3.104% (2nd)#2.991% (2nd)
6#February 17, 2026#3.103% (2nd)#3.626% (2nd)
7#February 23, 2026#4.293% (1st)#4.220% (1st)
8#February 24, 2026#4.220% (1st)#3.956% (1st)
9#March 2, 2026#4.267% (2nd)#4.244% (2nd)
10#March 3, 2026#4.315% (2nd)#3.781% (2nd)
11#March 9, 2026#<NA>#<NA>
12#March 10, 2026#<NA>#<NA>
Average#Average#<NA>#<NA>
