pos.#driver#manufacturer#bat#points
1#Maro Engel  Mikaël Grenier  Maxime Martin#Mercedes AMG#1#25
2#Dorian Boccolacci  Anders Fjordbach  Kerong Li#Porsche#2#18
3#Augusto Farfus  Raffaele Marciello  Valentino Rossi#BMW#3#15
4#Max Hesse  Maxime Oosten  Ruan Cunfan#BMW#4#12
5#Bastian Buus  Matt Campbell  Alessio Picariello#Porsche#5#10
6#Jules Gounon  Kenny Habul  Luca Stolz#Mercedes AMG#6#8
7#Klaus Bachler  Ricardo Feller  Laurin Heinrich#Porsche#7#6
8#Jaxon Evans  Davide Rigon  Daniel Serra#Ferrari#8#4
9#Chris Froggatt  Jonathan Hui  Lorenzo Patrese  Ryan Wood#Ferrari#9#2
10#Ralf Bohn  Alfred Renauer  Robert Renauer#Porsche#10#1
<NA>#Jordan Pepper  Kelvin van der Linde  Charles Weerts#BMW#11#0
<NA>#Brett Hobson  Dylan O'Keeffe  Garth Walden#Mercedes AMG#12#0
<NA>#Ben Green  Prince Abu Bakar Ibrahim  Prince Jefri Ibrahim  Jordan Love#Chevrolet#13#0
<NA>#Eduardo Barrichello  Roman De Angelis  Ian James#Mercedes AMG#14#0
<NA>#Scott Andrews  Brendon Leitch  Sergio Pires  Marcel Zalloua#Mercedes AMG#15#0
<NA>#Zach Bates  James Koundouris  Theo Koundouris  David Russell#Mercedes AMG#16#0
<NA>#Kai Allen  Will Davison  Brenton Grove#Mercedes AMG#17#0
<NA>#Philip Ellis  Jayden Ojeda  Fabian Schiller#Mercedes AMG#Ret#0
<NA>#Chaz Mostert  Thomas Randle  Cameron Waters#Mercedes AMG#Ret#0
<NA>#Earl Bamber  Nicky Catsburg  Alexander Sims#Chevrolet#Ret#0
<NA>#Ralf Aron  Lucas Auer  Maximilian Gotz#Mercedes AMG#Ret#0
<NA>#Fabio Babini  Alex Fontana  Johannes Zelger#Porsche#Ret#0
<NA>#Broc Feeney  Christopher Mies  Dennis Olsen#Ford#Ret#0
Pos.#Driver#Manufacturer#BAT#Points
