pos#no#driver#team#manufacturer#points
1#23#Bubba Wallace#23XI Racing#Toyota#10
2#12#Ryan Blaney#Team Penske#Ford#9
3#42#John Hunter Nemechek#Legacy Motor Club#Toyota#8
4#8#Kyle Busch#Richard Childress Racing#Chevrolet#7
5#35#Riley Herbst#23XI Racing#Toyota#6
6#67#Corey Heim (i)#23XI Racing#Toyota#0
7#17#Chris Buescher#RFK Racing#Ford#4
8#45#Tyler Reddick#23XI Racing#Toyota#3
9#22#Joey Logano#Team Penske#Ford#2
10#7#Daniel Suárez#Spire Motorsports#Chevrolet#1
Official stage two results#Official stage two results#Official stage two results#Official stage two results#Official stage two results#Official stage two results
