pos#grid#no#driver#team#manufacturer#laps#points
1#4#9#Chase Elliott#Hendrick Motorsports#Chevrolet#60#10
2#14#77#Carson Hocevar#Spire Motorsports#Chevrolet#60#9
3#3#5#Kyle Larson#Hendrick Motorsports#Chevrolet#60#8
4#10#71#Michael McDowell#Spire Motorsports#Chevrolet#60#7
5#6#20#Christopher Bell#Joe Gibbs Racing#Toyota#60#6
6#13#21#Josh Berry#Wood Brothers Racing#Ford#60#5
7#19#47#Ricky Stenhouse Jr.#Hyak Motorsports#Chevrolet#60#4
8#16#34#Todd Gilliland#Front Row Motorsports#Ford#60#3
9#5#54#Ty Gibbs#Joe Gibbs Racing#Toyota#60#2
10#2#11#Denny Hamlin#Joe Gibbs Racing#Toyota#60#1
11#12#43#Erik Jones#Legacy Motor Club#Toyota#60#0
12#20#45#Tyler Reddick#23XI Racing#Toyota#60#0
13#15#35#Riley Herbst#23XI Racing#Toyota#60#0
14#9#38#Zane Smith#Front Row Motorsports#Ford#60#0
15#11#88#Connor Zilisch (R)#Trackhouse Racing#Chevrolet#60#0
16#18#10#Ty Dillon#Kaulig Racing#Chevrolet#60#0
17#8#2#Austin Cindric#Team Penske#Ford#60#0
18#21#78#B. J. McLeod#Live Fast Motorsports#Chevrolet#60#0
19#1#19#Chase Briscoe#Joe Gibbs Racing#Toyota#60#0
20#7#40#Justin Allgaier (i)#JR Motorsports#Chevrolet#60#0
21#22#44#J. J. Yeley (i)#NY Racing Team#Chevrolet#57#0
DSQ#17#62#Anthony Alfredo (i)#Beard Motorsports#Chevrolet#60#0
Official race results#Official race results#Official race results#Official race results#Official race results#Official race results#Official race results#Official race results
