rank#bib#order#name#country#run_1#run_2#run_3#total
<NA>#5#10#Kira Kimura#Japan#89.0#15.00#90.50#179.5
<NA>#2#3#Ryoma Kimata#Japan#86.25#85.25#DNI#171.5
<NA>#3#9#Su Yiming#China#88.25#73.75#80.25#168.5
4.0#6#4#Oliver Martin#United States#29.75#79.50#83.50#163.0
5.0#17#11#Ian Matteoli#Italy#26.25#80.25#82.25#162.5
6.0#4#2#Dane Menzies#New Zealand#81.25#79.50#DNI#160.75
7.0#20#7#Francis Jobin#Canada#37.25#84.00#65.50#149.5
8.0#14#5#Rocco Jamieson#New Zealand#43.0#83.00#29.25#126.0
9.0#22#6#Lyon Farrell#New Zealand#83.5#16.50#40.75#124.25
10.0#31#1#Valentino Guseli#Australia#23.0#86.75#16.50#109.75
11.0#1#8#Taiga Hasegawa#Japan#71.75#16.00#28.75#100.5
12.0#8#12#Hiroto Ogiwara#Japan#21.0#DNI#13.75#34.75
