rank#bib#name#country#blue_course#red_course#total
1#36#Ester Ledecká#Czech Republic#45.04#45.75#1:30.79
2#18#Zuzana Maděrová#Czech Republic#45.38#46.1#1:31.48
3#26#Tsubaki Miki#Japan#45.62#47.25#1:32.87
4#30#Lucia Dalmasso#Italy#46.39#46.67#1:33.06
5#27#Aleksandra Król-Walas#Poland#46.81#46.37#1:33.18
6#31#Elisa Caffont#Italy#46.79#46.59#1:33.38
7#19#Ramona Theresia Hofmeister#Germany#46.72#46.75#1:33.47
8#28#Michelle Dekker#Netherlands#46.22#47.41#1:33.63
9#21#Sabine Payer#Austria#46.73#47.02#1:33.75
10#32#Malena Zamfirova#Bulgaria#46.89#47.4#1:34.29
11#29#Julie Zogg#Switzerland#47.69#46.67#1:34.36
12#17#Aurélie Moisan#Canada#48.24#46.32#1:34.56
13#20#Jasmin Coratti#Italy#47.3#47.7#1:35.00
14#33#Kaylie Buck#Canada#47.96#47.38#1:35.34
15#25#Cheyenne Loch#Germany#48.5#46.9#1:35.40
16#22#Claudia Riegler#Austria#47.35#48.08#1:35.43
17#34#Gloria Kotnik#Slovenia#47.66#47.77#1:35.43
18#37#Flurina Neva Bätschi#Switzerland#48.01#47.67#1:35.68
19#45#Xenia von Siebenthal#Switzerland#47.84#48.02#1:35.86
20#38#Melanie Hochreiter#Germany#47.8#48.84#1:36.64
21#41#Gong Naiying#China#48.74#48.12#1:36.86
22#39#Tomoka Takeuchi#Japan#48.0#48.88#1:36.88
23#35#Martina Ankele#Austria#49.0#48.58#1:37.58
23#23#Ladina Caviezel#Switzerland#48.88#48.7#1:37.58
25#46#Dong Yuyue#China#49.35#48.79#1:38.14
26#47#Mathilda Scheid#Germany#49.12#49.51#1:38.63
27#43#Maria Bukowska-Chyc#Poland#49.34#49.83#1:39.17
28#42#Bai Xinhui#China#47.56#51.66#1:39.22
29#24#Annamari Dancha#Ukraine#49.39#50.0#1:39.39
30#40#Iris Pflum#United States#50.42#49.66#1:40.08
31#44#Jeong Hae-rim#South Korea#49.78#50.77#1:40.55
32#48#Sofia Valle#Italy#50.87#49.74#1:40.61
