rank#bib#name#country#time#behind
<NA>#8#Franjo von Allmen#Switzerland#1:51.61#<NA>
<NA>#11#Giovanni Franzoni#Italy#1:51.81#+0.20
<NA>#12#Dominik Paris#Italy#1:52.11#+0.50
4.0#7#Marco Odermatt#Switzerland#1:52.31#+0.70
5.0#6#Alexis Monney#Switzerland#1:52.36#+0.75
6.0#9#Vincent Kriechmayr#Austria#1:52.38#+0.77
7.0#1#Daniel Hemetsberger#Austria#1:52.58#+0.97
8.0#10#Nils Allègre#France#1:52.80#+1.19
9.0#2#James Crawford#Canada#1:53.00#+1.39
10.0#27#Kyle Negomir#United States#1:53.20#+1.59
11.0#14#Mattia Casse#Italy#1:53.28#+1.67
12.0#19#Miha Hrobat#Slovenia#1:53.30#+1.69
13.0#3#Bryce Bennett#United States#1:53.45#+1.84
14.0#17#Cameron Alexander#Canada#1:53.49#+1.88
15.0#21#Raphael Haaser#Austria#1:53.50#+1.89
16.0#30#Martin Čater#Slovenia#1:53.51#+1.90
17.0#15#Florian Schieder#Italy#1:53.57#+1.96
18.0#13#Ryan Cochran-Siegle#United States#1:53.63#+2.02
19.0#29#Sam Morse#United States#1:53.68#+2.07
20.0#18#Elian Lehto#Finland#1:53.83#+2.22
21.0#28#Simon Jocher#Germany#1:54.01#+2.40
22.0#5#Nils Alphand#France#1:54.06#+2.45
23.0#20#Stefan Rogentin#Switzerland#1:54.18#+2.57
24.0#23#Jan Zabystřan#Czech Republic#1:54.39#+2.78
25.0#26#Jeffrey Read#Canada#1:54.56#+2.95
26.0#25#Stefan Babinsky#Austria#1:54.73#+3.12
27.0#24#Alban Elezi Cannaferina#France#1:54.90#+3.29
28.0#22#Brodie Seger#Canada#1:54.96#+3.35
29.0#31#Marco Pfiffner#Liechtenstein#1:55.66#+4.05
30.0#32#Barnabás Szőllős#Israel#1:57.03#+5.47
31.0#33#Arnaud Alessandria#Monaco#1:57.15#+5.59
32.0#34#Elvis Opmanis#Latvia#1:59.24#+7.68
33.0#35#Dmytro Shepiuk#Ukraine#2:00.11#+8.55
34.0#36#Cormac Comerford#Ireland#2:04.40#+12.79
<NA>#4#Maxence Muzaton#France#Did not finish#Did not finish
<NA>#16#Adrian Smiseth Sejersted#Norway#Did not finish#Did not finish
