date#time#opponent#tv#venue
March 1#9:00 a.m.#Iowa#D1Baseball#Riders Field • Frisco, Texas
March 3#3:05 p.m.#at Oregon#B1G+#PK Park • Eugene, Oregon
March 6#5:35 p.m.#vs Xavier#KRCW-TV#Goss Stadium at Coleman Field • Corvallis, Oregon
March 7#1:35 p.m.#vs Xavier#KOIN#Goss Stadium at Coleman Field • Corvallis, Oregon
March 8#1:05 p.m.#vs Xavier#KRCW-TV#Goss Stadium at Coleman Field • Corvallis, Oregon
March 9#5:35 p.m.#vs Xavier#KRCW-TV#Goss Stadium at Coleman Field • Corvallis, Oregon
March 13#6:00 p.m.#at San Diego#TBD#Fowler Park • San Diego, California
March 14#5:00 p.m.#at San Diego#TBD#Fowler Park • San Diego, California
March 15#1:00 p.m.#at San Diego#TBD#Fowler Park • San Diego, California
March 17#5:35 p.m.#at Portland#TBD#Joe Etzel Field • Portland, Oregon
March 20#6:00 p.m.#at UC Irvine#TBD#Cicerone Field at Anteater Ballpark • Irvine, California
March 21#1:00 p.m.#at UC Irvine#TBD#Cicerone Field at Anteater Ballpark • Irvine, California
March 22#1:00 p.m.#at UC Irvine#TBD#Cicerone Field at Anteater Ballpark • Irvine, California
March 24#1:00 p.m.#at USC#TBD#Dedeaux Field • Los Angeles, California
March 27#5:35 p.m.#vs Mercer#TBD#Goss Stadium at Coleman Field • Corvallis, Oregon
March 28#1:35 p.m.#vs Mercer#TBD#Goss Stadium at Coleman Field • Corvallis, Oregon
March 29#1:05 p.m.#vs Mercer#TBD#Goss Stadium at Coleman Field • Corvallis, Oregon
March 31#5:35 p.m.#vs Washington#TBD#Goss Stadium at Coleman Field • Corvallis, Oregon
