rank#pair#lane#name#country#time#time_behind
<NA>#9#O#Sander Eitrem#Norway#6:03.95#<NA>
<NA>#9#I#Metoděj Jílek#Czech Republic#6:06.48#2.53
<NA>#3#I#Riccardo Lorello#Italy#6:09.22#5.27
4.0#8#I#Davide Ghiotto#Italy#6:09.57#5.62
5.0#10#O#Timothy Loubineaud#France#6:11.15#7.2
6.0#3#O#Peder Kongshaug#Norway#6:11.31#7.36
7.0#6#I#Chris Huizinga#Netherlands#6:11.58#7.63
8.0#8#O#Casey Dawson#United States#6:11.88#7.93
9.0#2#I#Stijn van de Bunt#Netherlands#6:12.94#8.99
10.0#1#O#Gabriel Groß#Germany#6:14.40#10.45
11.0#1#I#Marcel Bosker#Netherlands#6:17.47#13.52
12.0#7#O#Michele Malfatti#Italy#6:17.95#14.0
13.0#10#I#Ted-Jan Bloemen#Canada#6:17.97#14.02
14.0#2#O#Sigurd Henriksen#Norway#6:18.24#14.29
15.0#5#O#Bart Swings#Belgium#6:19.27#15.32
16.0#7#I#Felix Maly#Germany#6:21.42#17.47
17.0#4#O#Liu Hanbin#China#6:24.25#20.3
18.0#6#O#Alexander Farthofer#Austria#6:26.07#22.12
19.0#5#I#Fridtjof Petzold#Germany#6:27.56#23.61
20.0#4#I#Shomu Sasaki#Japan#6:27.97#24.02
