rank#pair#lane#name#country#time#time_behind
<NA>#8#O#Francesca Lollobrigida#Italy#3:54.28#<NA>
<NA>#9#O#Ragne Wiklund#Norway#3:56.54#2.26
<NA>#8#I#Valérie Maltais#Canada#3:56.93#2.65
4.0#10#I#Joy Beune#Netherlands#3:58.12#3.84
5.0#10#O#Isabelle Weidemann#Canada#3:59.24#4.96
6.0#7#I#Nadezhda Morozova#Kazakhstan#4:01.20#6.92
7.0#5#O#Sandrine Tas#Belgium#4:01.26#6.98
8.0#9#I#Marijke Groenewoud#Netherlands#4:01.35#7.07
9.0#2#I#Merel Conijn#Netherlands#4:01.65#7.37
10.0#5#I#Elizaveta Golubeva#Kazakhstan#4:03.30#9.02
11.0#2#O#Kaitlyn McGregor#Switzerland#4:04.97#10.69
12.0#3#O#Kseniia Korzhova#Individual Neutral Athletes#4:05.84#11.55
13.0#1#O#Laura Hall#Canada#4:06.15#11.85
14.0#6#O#Josie Hofmann#Germany#4:06.54#12.26
15.0#7#O#Maryna Zuyeva#Individual Neutral Athletes#4:07.09#12.81
16.0#4#O#Violette Braun#France#4:07.17#12.88
17.0#4#I#Yang Binyu#China#4:07.62#13.34
18.0#6#I#Momoka Horikawa#Japan#4:08.32#14.04
19.0#3#I#Jeannine Rosner#Austria#4:08.42#14.14
20.0#1#I#Greta Myers#United States#4:13.47#19.18
