rank#pair#lane#name#country#time#time_behind
<NA>#15#O#Jutta Leerdam#Netherlands#1:12.31#<NA>
<NA>#13#O#Femke Kok#Netherlands#1:12.59#0.28
<NA>#15#I#Miho Takagi#Japan#1:13.95#1.64
4.0#13#I#Brittany Bowe#United States#1:14.55#2.24
5.0#14#O#Béatrice Lamarche#Canada#1:14.73#2.42
6.0#11#I#Erin Jackson#United States#1:15.00#2.69
7.0#14#I#Rio Yamada#Japan#1:15.16#2.85
8.0#1#O#Suzanne Schulting#Netherlands#1:15.47#3.15
9.0#12#O#Lee Na-hyun#South Korea#1:15.76#3.45
10.0#8#O#Nikola Zdráhalová#Czech Republic#1:15.830#3.52
11.0#12#I#Ellia Smeding#Great Britain#1:15.834#3.52
12.0#10#O#Yin Qi#China#1:15.87#3.56
13.0#9#I#Han Mei#China#1:15.97#3.66
14.0#9#O#Nadezhda Morozova#Kazakhstan#1:16.00#3.69
15.0#6#I#Natalia Czerwonka#Poland#1:16.09#3.78
16.0#8#I#Yukino Yoshida#Japan#1:16.11#3.8
17.0#4#I#Kaitlyn McGregor#Switzerland#1:16.17#3.85
18.0#11#O#Kim Min-sun#South Korea#1:16.24#3.93
19.0#7#I#Elizaveta Golubeva#Kazakhstan#1:16.40#4.09
20.0#7#O#Isabelle van Elst#Belgium#1:16.68#4.37
21.0#6#O#Anna Ostlender#Germany#1:16.83#4.52
22.0#10#I#Karolina Bosiek#Poland#1:16.88#4.57
23.0#2#I#Fran Vanhoutte#Belgium#1:16.93#4.62
24.0#5#I#Vanessa Herzog#Austria#1:16.99#4.68
25.0#1#I#Maybritt Vigl#Italy#1:17.151#4.84
26.0#2#O#Carolina Hiller-Donnelly#Canada#1:17.156#4.84
27.0#3#O#Rose Laliberté-Roy#Canada#1:17.50#5.19
28.0#4#O#Kristina Silaeva#Kazakhstan#1:17.57#5.26
29.0#5#O#Tian Ruining#China#1:17.87#5.56
30.0#3#I#Jeannine Rosner#Austria#1:18.41#6.1
