rank#bib#name#country#time#penalties_(p+s+p+s)#deficit
<NA>#58#Johan-Olav Botn#Norway#51:31.5#0 (0+0+0+0)#<NA>
<NA>#38#Éric Perrot#France#51:46.3#1 (0+1+0+0)#+14.8
<NA>#62#Sturla Holm Lægreid#Norway#52:19.8#1 (0+0+1+0)#+48.3
4.0#27#Olli Hiidensalo#Finland#53:01.2#0 (0+0+0+0)#+1:29.7
5.0#40#Philipp Nawrath#Germany#53:03.0#1 (1+0+0+0)#+1:31.5
6.0#52#Tommaso Giacomel#Italy#53:59.0#3 (1+1+0+1)#+2:27.5
7.0#46#Sebastian Samuelsson#Sweden#54:00.8#2 (0+0+0+2)#+2:29.3
8.0#54#Quentin Fillon Maillet#France#54:20.9#4 (1+2+0+1)#+2:49.4
9.0#48#Martin Ponsiluoma#Sweden#54:26.2#3 (0+0+2+1)#+2:54.7
10.0#44#Johannes Dale-Skjevdal#Norway#54:32.2#4 (2+0+0+2)#+3:00.7
11.0#82#Otto Invenius#Finland#54:39.5#1 (1+0+0+0)#+3:08.0
12.0#22#Jesper Nelin#Sweden#54:45.3#2 (1+0+0+1)#+3:13.8
13.0#56#Martin Uldal#Norway#54:48.0#3 (1+0+1+1)#+3:16.5
14.0#15#Patrick Braunhofer#Italy#55:01.7#1 (0+0+1+0)#+3:30.2
15.0#68#Tuomas Harjula#Finland#55:15.0#1 (0+1+0+0)#+3:43.5
16.0#50#Lukas Hofer#Italy#55:32.5#3 (0+0+1+2)#+4:01.0
17.0#16#Fabien Claude#France#55:46.9#4 (2+1+0+1)#+4:15.4
18.0#6#Dmytro Pidruchnyi#Ukraine#56:10.4#3 (0+3+0+0)#+4:38.9
19.0#32#Vytautas Strolia#Lithuania#56:15.0#1 (0+0+0+1)#+4:43.5
20.0#83#Miha Dovžan#Slovenia#56:28.0#1 (0+0+0+1)#+4:56.5
21.0#24#David Zobel#Germany#56:31.8#2 (0+2+0+0)#+5:00.3
22.0#63#Blagoy Todev#Bulgaria#56:34.9#2 (1+0+0+1)#+5:03.4
23.0#17#Lucas Fratzscher#Germany#56:38.7#2 (0+0+1+1)#+5:07.2
24.0#69#Patrick Jakob#Austria#56:40.0#2 (1+0+1+0)#+5:08.5
25.0#31#Elia Zeni#Italy#56:46.5#3 (1+2+0+0)#+5:15.0
26.0#34#Vítězslav Hornig#Czech Republic#56:47.0#2 (1+0+1+0)#+5:15.5
27.0#42#Campbell Wright#United States#56:53.9#2 (1+1+0+0)#+5:22.4
28.0#26#Vitalii Mandzyn#Ukraine#56:55.0#4 (0+1+1+2)#+5:23.5
29.0#13#Jakov Fak#Slovenia#56:55.5#2 (1+0+1+0)#+5:24.0
30.0#55#Karol Dombrovski#Lithuania#57:00.0#1 (0+1+0+0)#+5:28.5
31.0#5#Renārs Birkentāls#Latvia#57:00.7#2 (1+1+0+0)#+5:29.2
32.0#11#Dominic Unterweger#Austria#57:08.5#2 (1+0+1+0)#+5:37.0
33.0#57#Grzegorz Galica#Poland#57:10.2#3 (1+0+2+0)#+5:38.7
34.0#36#Simon Eder#Austria#57:16.9#2 (0+0+1+1)#+5:45.4
35.0#77#Anton Dudchenko#Ukraine#57:21.7#1 (0+1+0+0)#+5:50.2
36.0#30#Joscha Burkhalter#Switzerland#57:22.0#3 (1+1+0+1)#+5:50.5
37.0#1#Viktor Brandt#Sweden#57:38.3#4 (1+0+0+3)#+6:06.8
38.0#18#Michal Krčmář#Czech Republic#57:45.4#4 (1+2+1+0)#+6:13.9
39.0#74#George Buta#Romania#57:46.8#1 (1+0+0+0)#+6:15.3
40.0#28#Philipp Horn#Germany#57:50.8#6 (2+1+1+2)#+6:19.3
