order_order#artist_artist#age_age#hometown_hometown#song_song
1#JW Griffin#25#Moultrie, Georgia#"Long Haired Country Boy"
2#Nicolette Capua#23#Staten Island, New York#"You Broke Me First"
3#Tia DuRant#32#Sumter, South Carolina#"Midnight Train to Georgia"
4#Kendra Remedios#31#Arlington, Texas#"Girl Crush"
5#Mike Steele#28#Tutwiler, Mississippi#"For Tonight"
6#Bijou Belle#17#Rapid City, South Dakota#"Wildflower"
7#Jaali Boyd#25#Baltimore, Maryland#"No Air"
8#Blaire Elbert#28#Lubbock, Texas#"Wide Rollin' Plains"
9#Adi Arora#21#Short Hills, New Jersey#"It Will Rain"
10#Moses G.#31#Harlem, New York#"Forever Young"
11#Chezzarai#31#Los Angeles, California#"I'm Every Woman"
12#Hunter Jordan#22#Maysville, Kentucky#"Let Me Down Easy"
