pos_pos#driver_driver#suz1_r1#suz1_r2#suz1_r3#pts_pts
1#Yuzuki Miura#1#2#1#68
2#Ryota Horachi#2#1#4#55
3#Kento Omiya#5#5#2#38
4#Masana Muto#3#4#5#37
5#Hibiki Komatsu#4#3#6#35
6#Lin Chenghua#6#6#3#31
7#Rio Shimono#8#8#7#14
8#Li Xuanyu#7#9#8#12
9#"Akita"#9#7#9#10
10#Yutaka Toriba#10#13#10#2
11#Masayuki Ueda#12#10#Ret#1
12#Hideaki Irie#11#11#11#0
13#"Yuki"#13#12#12#0
14#Shoichiro Akamatsu#DNS#Ret#13#0
15#"Yugo”#14#14#14#0
16#Paul Wong#15#15#DNS#0
Pos#Driver#R1#R2#R3#Pts
Pos#Driver#SUZ1#SUZ1#SUZ1#Pts
