rank#pair#lane#name#country#time#time_behind
<NA>#5#I#Metoděj Jílek#Czech Republic#12:33.43#<NA>
<NA>#3#I#Vladimir Semirunniy#Poland#12:39.08#+ 5.65
<NA>#4#I#Jorrit Bergsma#Netherlands#12:40.48#+7.05
4#6#O#Timothy Loubineaud#France#12:44.20#+10.77
5#3#O#Stijn van de Bunt#Netherlands#12:45.75#+12.32
6#4#O#Davide Ghiotto#Italy#12:46.72#+13.29
7#6#I#Sander Eitrem#Norway#12:47.11#+13.68
8#1#I#Riccardo Lorello#Italy#12.56.22#+22.79
9#5#O#Ted-Jan Bloemen#Canada#13:00.01#+26.58
10#2#I#Bart Swings#Belgium#13:05.60#+32.17
11#2#O#Sigurd Henriksen#Norway#13:27.29#+53.86
<NA>#1#O#Viktor Hald Thorup#Denmark#DNF#DNF
<NA>#<NA>#<NA>#Casey Dawson#United States#WDR#WDR
