rank#pair#lane#name#country#time#time_behind
<NA>#6#I#Francesca Lollobrigida#Italy#6:46.17#<NA>
<NA>#4#O#Merel Conijn#Netherlands#6:46.27#0.1
<NA>#5#O#Ragne Wiklund#Norway#6:46.34#0.17
4.0#4#I#Sandrine Tas#Belgium#6:46.47#0.3
5.0#5#I#Isabelle Weidemann#Canada#6:50.08#3.91
6.0#2#O#Maryna Zuyeva#Individual Neutral Athletes#6:57.70#11.53
7.0#1#I#Marijke Groenewoud#Netherlands#6:58.33#12.16
8.0#3#O#Maira Jasch#Germany#7:00.94#14.77
9.0#2#I#Laura Hall#Canada#7:02.90#16.73
10.0#3#I#Nadezhda Morozova#Kazakhstan#7:04.81#18.64
11.0#6#O#Martina Sáblíková#Czech Republic#7:07.08#20.91
12.0#1#O#Tai Zhien#China#7:15.71#29.54
