march_(1–0)_date#march_(1–0)_opponent#march_(1–0)_site/stadium
Mar 1#South Carolina*#Doug Kingsmore Stadium • Clemson, SC
Mar 4#vs Michigan State*#Fluor Field • Greenville, SC
Mar 6#La Salle*#Doug Kingsmore Stadium • Clemson, SC
Mar 7 (DH 1)#La Salle*#Doug Kingsmore Stadium • Clemson, SC
Mar 7 (DH 2)#La Salle*#Doug Kingsmore Stadium • Clemson, SC
Mar 8#La Salle*#Doug Kingsmore Stadium • Clemson, SC
Mar 10#at Georgia Southern*#J. I. Clements Stadium • Statesboro, GA
Mar 12#Georgia Tech#Doug Kingsmore Stadium • Clemson, SC
Mar 13#Georgia Tech#Doug Kingsmore Stadium • Clemson, SC
Mar 14#Georgia Tech#Doug Kingsmore Stadium • Clemson, SC
Mar 17#at College of Charleston*#CofC Baseball Stadium at Patriots Point • Mount Pleasant, SC
Mar 18#at The Citadel*#Joseph P. Riley, Jr. Park • Charleston, SC
Mar 20#at Notre Dame#Frank Eck Stadium • Notre Dame, IN
Mar 21#at Notre Dame#Frank Eck Stadium • Notre Dame, IN
Mar 22#at Notre Dame#Frank Eck Stadium • Notre Dame, IN
Mar 24#Coastal Carolina*#Doug Kingsmore Stadium • Clemson, SC
Mar 26#Miami (FL)#Doug Kingsmore Stadium • Clemson, SC
Mar 27#Miami (FL)#Doug Kingsmore Stadium • Clemson, SC
Mar 28#Miami (FL)#Doug Kingsmore Stadium • Clemson, SC
