april_(0–0)_date#april_(0–0)_opponent#april_(0–0)_site/stadium
Apr 1#vs Wake Forest*#Truist Field • Charlotte, NC
Apr 3#at Stanford#Klein Field at Sunken Diamond • Stanford, CA
Apr 4#at Stanford#Klein Field at Sunken Diamond • Stanford, CA
Apr 5#at Stanford#Klein Field at Sunken Diamond • Stanford, CA
Apr 6#at Santa Clara*#Stephen Schott Stadium • Santa Clara, CA
Apr 10#North Carolina#Doug Kingsmore Stadium • Clemson, SC
Apr 11#North Carolina#Doug Kingsmore Stadium • Clemson, SC
Apr 12#North Carolina#Doug Kingsmore Stadium • Clemson, SC
Apr 14#at Charlotte*#Truist Field • Charlotte, NC
Apr 16#at Virginia#Davenport Field at Disharoon Park • Charlottesville, VA
Apr 17#at Virginia#Davenport Field at Disharoon Park • Charlottesville, VA
Apr 18#at Virginia#Davenport Field at Disharoon Park • Charlottesville, VA
Apr 21#USC Upstate*#Doug Kingsmore Stadium • Clemson, SC
Apr 24#at Louisville#Jim Patterson Stadium • Louisville, KY
Apr 25#at Louisville#Jim Patterson Stadium • Louisville, KY
Apr 26#at Louisville#Jim Patterson Stadium • Louisville, KY
