march_(1–1)_date_astros_foundation_college_classic#march_(1–1)_opponent_astros_foundation_college_classic#march_(1–1)_site/stadium_astros_foundation_college_classic
Mar. 1#vs. No. 25 Ole Miss*#Daikin Park • Houston, TX
Mar. 3#at No. 13 NC State*#Doak Field • Raleigh, NC
Mar. 6#East Carolina*#Springs Brooks Stadium • Conway, SC
Mar. 7#East Carolina*#Springs Brooks Stadium • Conway, SC
Mar. 8#East Carolina*#Springs Brooks Stadium • Conway, SC
Mar. 10#Wake Forest*#Springs Brooks Stadium • Conway, SC
Mar. 13#at App State#Beaver Field at Jim and Bettie Smith Stadium • Boone, NC
Mar. 14#at App State#Beaver Field at Jim and Bettie Smith Stadium • Boone, NC
Mar. 15#at App State#Beaver Field at Jim and Bettie Smith Stadium • Boone, NC
Mar. 18#at Campbell*#Jim Perry Stadium • Buies Creek, NC
Mar. 20#James Madison#Springs Brooks Stadium • Conway, SC
Mar. 21#James Madison#Springs Brooks Stadium • Conway, SC
Mar. 22#James Madison#Springs Brooks Stadium • Conway, SC
Mar. 24#at Clemson*#Doug Kingsmore Stadium • Clemson, SC
Mar. 27#at Marshall#Jack Cook Field • Huntington, WV
Mar. 28#at Marshall#Jack Cook Field • Huntington, WV
Mar. 29#at Marshall#Jack Cook Field • Huntington, WV
Mar. 31#at The Citadel*#Joseph P. Riley Jr. Park • Charleston, SC
