may_(0–0)_date#may_(0–0)_opponent#may_(0–0)_site/stadium
May 1#at Georgia Southern#J. I. Clements Stadium • Statesboro, GA
May 2#at Georgia Southern#J. I. Clements Stadium • Statesboro, GA
May 3#at Georgia Southern#J. I. Clements Stadium • Statesboro, GA
May 5#Clemson#Springs Brooks Stadium • Conway, SC
May 8#Old Dominion#Springs Brooks Stadium • Conway, SC
May 9#Old Dominion#Springs Brooks Stadium • Conway, SC
May 10#Old Dominion#Springs Brooks Stadium • Conway, SC
May 12#The Citadel#Springs Brooks Stadium • Conway, SC
May 14#at Louisiana#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
May 15#at Louisiana#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
May 16#at Louisiana#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
