march_(0–1)_date#march_(0–1)_opponent#march_(0–1)_site/stadium
Mar 1#at No. 21 Florida State*#Mike Martin Field at Dick Howser Stadium • Tallahassee, FL
Mar 4#Georgia Southern*#Joseph P. Riley Jr. Park • Charleston, SC
Mar 6#at No. 21 Kentucky*#Kentucky Proud Park • Lexington, KY
Mar 7#at No. 21 Kentucky*#Kentucky Proud Park • Lexington, KY
Mar 8#at No. 21 Kentucky*#Kentucky Proud Park • Lexington, KY
Mar 10#South Carolina*#Joseph P. Riley Jr. Park • Charleston, SC
Mar 13#at UT Martin*#Skyhawk Park • Martin, TN
Mar 14#at UT Martin*#Skyhawk Park • Martin, TN
Mar 15#at UT Martin*#Skyhawk Park • Martin, TN
Mar 17#at Georgia*#Foley Field • Athens, GA
Mar 18#Clemson*#Joseph P. Riley Jr. Park • Charleston, SC
Mar 20#at Mercer#OrthoGeorgia Park • Macon, GA
Mar 21#at Mercer#OrthoGeorgia Park • Macon, GA
Mar 22#at Mercer#OrthoGeorgia Park • Macon, GA
Mar 25#Presbyterian*#Joseph P. Riley Jr. Park • Charleston, SC
Mar 27#Western Carolina*#Joseph P. Riley Jr. Park • Charleston, SC
Mar 28#Western Carolina*#Joseph P. Riley Jr. Park • Charleston, SC
Mar 29#Western Carolina*#Joseph P. Riley Jr. Park • Charleston, SC
Mar 31#Coastal Carolina*#Joseph P. Riley Jr. Park • Charleston, SC
