april_(0–0)_date#april_(0–0)_opponent#april_(0–0)_site/stadium
Apr 2#Longwood*#Joseph P. Riley Jr. Park • Charleston, SC
Apr 3#Longwood*#Joseph P. Riley Jr. Park • Charleston, SC
Apr 4#Longwood*#Joseph P. Riley Jr. Park • Charleston, SC
Apr 7#College of Charleston*#Joseph P. Riley Jr. Park • Charleston, SC
Apr 8#at Winthrop*#Winthrop Ballpark • Rock Hill, SC
Apr 10#at Wofford#Russell C. King Field • Spartanburg, SC
Apr 11#at Wofford#Russell C. King Field • Spartanburg, SC
Apr 12#at Wofford#Russell C. King Field • Spartanburg, SC
Apr 14#at College of Charleston*#CofC Baseball Stadium at Patriots Point • Mount Pleasant, SC
Apr 17#at East Tennessee State#Thomas Stadium • Johnson City, TN
Apr 18#at East Tennessee State#Thomas Stadium • Johnson City, TN
Apr 19#at East Tennessee State#Thomas Stadium • Johnson City, TN
Apr 22#at Georgia Southern*#J. I. Clements Stadium • Statesboro, GA
Apr 24#UNC Greensboro#Joseph P. Riley Jr. Park • Charleston, SC
Apr 25#UNC Greensboro#Joseph P. Riley Jr. Park • Charleston, SC
Apr 26#UNC Greensboro#Joseph P. Riley Jr. Park • Charleston, SC
Apr 28#at South Carolina*#Founders Park • Columbia, SC
Apr 29#College of Charleston*#Joseph P. Riley Jr. Park • Charleston, SC
