february_(8–3)_date#february_(8–3)_opponent#february_(8–3)_site/stadium
Feb. 13#Missouri State#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 14#Missouri State#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 15#Missouri State#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 17#at Rice#Reckling Park • Houston, TX
Feb. 20#Maryland#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 21#Maryland#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 22#Maryland#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 24#Kansas State#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 25#Kansas State#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 27#UC San Diego#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Feb. 28#UC San Diego#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
