april_(0–0)_date#april_(0–0)_opponent#april_(0–0)_site/stadium
Apr. 2#at James Madison#Eagle Field at Veterans Memorial Park • Harrisonburg, VA
Apr. 3#at James Madison#Eagle Field at Veterans Memorial Park • Harrisonburg, VA
Apr. 4#at James Madison#Eagle Field at Veterans Memorial Park • Harrisonburg, VA
Apr. 8#at Southeastern Louisiana#Pat Kenelly Diamond at Alumni Field • Hammond, LA
Apr. 10#Southern Miss#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Apr. 11#Southern Miss#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Apr. 12#Southern Miss#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Apr. 17#at Troy#Riddle–Pace Field • Troy, AL
Apr. 18#at Troy#Riddle–Pace Field • Troy, AL
Apr. 19#at Troy#Riddle–Pace Field • Troy, AL
Apr. 21#Grambling State#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Apr. 24#at Arkansas State#Tomlinson Stadium–Kell Field • Jonesboro, AR
Apr. 25#at Arkansas State#Tomlinson Stadium–Kell Field • Jonesboro, AR
Apr. 26#at Arkansas State#Tomlinson Stadium–Kell Field • Jonesboro, AR
Apr. 28#Southern#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Apr. 29#Nicholls#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
