march_(0–0)_date_texas_a&m_invite#march_(0–0)_opponent_texas_a&m_invite#march_(0–0)_site/stadium_texas_a&m_invite
Mar. 1#at Texas A&M#Davis Diamond • College Station, TX
Okana Invitational#Okana Invitational#Okana Invitational
Mar. 6#vs. Abilene Christian#Love's Field • Norman, OK
Mar. 6#at Oklahoma#Love's Field • Norman, OK
Mar. 7#vs. Abilene Christian#Love's Field • Norman, OK
Mar. 7#at Oklahoma#Love's Field • Norman, OK
Mar. 13#at Southern Miss#Southern Miss Softball Complex • Hattiesburg, MS
Mar. 14#at Southern Miss#Southern Miss Softball Complex • Hattiesburg, MS
Mar. 15#at Southern Miss#Southern Miss Softball Complex • Hattiesburg, MS
Mar. 20#Texas State#Yvette Girouard Field at Lamson Park • Lafayette, LA
Mar. 21#Texas State#Yvette Girouard Field at Lamson Park • Lafayette, LA
Mar. 22#Texas State#Yvette Girouard Field at Lamson Park • Lafayette, LA
Mar. 24#McNeese#Yvette Girouard Field at Lamson Park • Lafayette, LA
Mar. 27#at Louisiana–Monroe#Geo-Surfaces Field at the ULM Softball Complex • Monroe, LA
Mar. 28#at Louisiana–Monroe#Geo-Surfaces Field at the ULM Softball Complex • Monroe, LA
Mar. 29#at Louisiana–Monroe#Geo-Surfaces Field at the ULM Softball Complex • Monroe, LA
