rank#bib#name#country#run_1#run_2#best
1#6#Eva Adamczyková#Czech Republic#1:12.29#<NA>#1:12.29
2#7#Léa Casta#France#1:12.79#<NA>#1:12.79
3#2#Noémie Wiedmer#Switzerland#1:13.12#<NA>#1:13.12
4#13#Julia Nirani-Pereira#France#1:13.32#<NA>#1:13.32
5#9#Chloé Trespeuch#France#1:13.49#<NA>#1:13.49
6#11#Michela Moioli#Italy#1:13.63#<NA>#1:13.63
7#10#Pia Zerkhold#Austria#1:14.14#<NA>#1:14.14
8#3#Sina Siegenthaler#Switzerland#1:14.22#<NA>#1:14.22
9#8#Charlotte Bankes#Great Britain#1:14.31#<NA>#1:14.31
10#1#Jana Fischer#Germany#1:14.40#<NA>#1:14.40
11#12#Mia Clift#Australia#1:14.43#<NA>#1:14.43
12#5#Audrey McManiman#Canada#1:14.52#<NA>#1:14.52
13#4#Stacy Gaskill#United States#1:14.60#<NA>#1:14.60
14#19#Maja-Li Iafrate Danielsson#France#1:15.05#<NA>#1:15.05
15#27#Hanna Percy#United States#1:15.27#<NA>#1:15.27
16#16#Brianna Schnorrbusch#United States#1:15.29#<NA>#1:15.29
17#14#Josie Baff#Australia#1:15.62#<NA>#1:15.62
18#25#Sofia Groblechner#Italy#1:15.65#<NA>#1:15.65
19#15#Aline Albrecht#Switzerland#1:15.80#<NA>#1:15.80
20#21#Lisa Francesia Boirai#Italy#1:15.99#<NA>#1:15.99
21#18#Faye Thelen#United States#1:16.08#1:14.62#1:14.62
22#22#Anouk Dörig#Switzerland#1:35.49#1:14.87#1:14.87
23#17#Karolína Hrůšová#Czech Republic#1:16.04#1:14.98#1:14.98
24#32#Abbey Wilson#Australia#1:16.38#1:15.03#1:15.03
25#23#Pang Chuyuan#China#1:17.98#1:16.67#1:16.67
26#20#Yongqinglamu#China#1:18.17#1:17.07#1:17.07
27#24#Kata Mandel#Romania#1:17.13#1:17.23#1:17.13
28#30#Remi Yoshida#Japan#1:17.10#1:17.42#1:17.10
29#28#Woo Su-been#South Korea#1:18.90#1:17.82#1:17.82
30#29#Mai Brit Teder#Estonia#1:18.10#1:18.47#1:18.10
31#26#Henrietta Bartalis#Romania#1:19.56#1:19.44#1:19.44
32#31#Blanca Brunner#Hungary#1:19.47#1:20.14#1:19.47
