rank#bib#name#country#distance_(m)#points#time_difference
1#23#Ryōta Yamamoto#Japan#136.5#150.0#<NA>
2#36#Johannes Lamparter#Austria#136.0#148.0#+0:08
3#27#Andreas Skoglund#Norway#132.0#146.1#+0:16
4#31#Thomas Rettenegger#Austria#137.0#145.4#+0:18
5#35#Jens Lurås Oftebro#Norway#132.5#144.6#+0:22
6#26#Kristjan Ilves#Estonia#137.0#144.0#+0:24
7#30#Ilkka Herola#Finland#130.5#141.9#+0:32
8#25#Eero Hirvonen#Finland#132.5#139.3#+0:43
9#33#Einar Lurås Oftebro#Norway#130.0#138.9#+0:44
10#19#Marco Heinis#France#129.0#133.8#+1:05
11#32#Stefan Rettenegger#Austria#129.0#133.1#+1:08
12#22#Niklas Malacinski#United States#129.5#129.9#+1:20
13#10#Wille Karhumaa#Finland#127.5#129.5#+1:22
14#12#Sora Yachi#Japan#128.5#129.3#+1:23
15#29#Johannes Rydzek#Germany#123.5#129.2#+1:23
16#34#Julian Schmid#Germany#124.5#126.2#+1:35
17#20#Laurent Muhlethaler#France#126.0#125.4#+1:38
18#28#Vinzenz Geiger#Germany#120.5#124.3#+1:43
19#21#Akito Watabe#Japan#125.5#122.5#+1:50
20#14#Vid Vrhovnik#Slovenia#126.5#121.9#+1:52
21#15#Jiří Konvalinka#Czech Republic#125.0#120.5#+1:58
22#16#Ben Loomis#United States#123.0#119.2#+2:03
23#8#Zhao Jiawen#China#125.0#118.7#+2:05
24#11#Maël Tyrode#France#123.0#118.5#+2:06
25#9#Gašper Brecl#Slovenia#121.0#115.2#+2:19
26#4#Miłosz Krzempek#Poland#120.0#114.8#+2:21
27#17#Aaron Kostner#Italy#120.0#110.8#+2:37
28#24#Samuel Costa#Italy#116.0#106.0#+2:56
29#18#Jan Vytrval#Czech Republic#115.0#105.1#+3:00
30#6#Oleksandr Shumbarets#Ukraine#114.5#104.0#+3:04
31#13#Alessandro Pittin#Italy#115.0#102.2#+3:11
32#2#Zhao Zihe#China#119.5#101.4#+3:14
33#1#Ruubert Teder#Estonia#118.0#99.8#+3:21
34#3#Dmytro Mazurchuk#Ukraine#112.0#91.7#+3:53
35#5#Chingiz Rakparov#Kazakhstan#108.0#88.4#+4:06
36#7#Kacper Jarząbek#Poland#102.0#76.2#+4:55
