rank#bib#name#country#time#penalties_(p+p+s+s)#deficit
<NA>#5#Océane Michelon#France#37:18.1#2 (1+0+0+1)#<NA>
<NA>#1#Julia Simon#France#37:24.7#1 (0+0+1+0)#+6.6
<NA>#20#Tereza Voborníková#Czech Republic#37:25.5#1 (1+0+0+0)#+7.4
4.0#8#Anna Magnusson#Sweden#37:44.7#0 (0+0+0+0)#+26.6
5.0#12#Dorothea Wierer#Italy#37:48.1#2 (0+1+1+0)#+30.0
6.0#10#Elvira Öberg#Sweden#37:50.0#1 (0+0+0+1)#+31.9
7.0#16#Vanessa Voigt#Germany#37:54.3#1 (0+0+0+1)#+36.2
8.0#21#Karoline Offigstad Knotten#Norway#38:01.9#2 (1+0+1+0)#+43.8
9.0#24#Anna Andexer#Austria#38:17.3#1 (0+0+1+0)#+59.2
10.0#9#Hanna Öberg#Sweden#38:21.2#3 (1+1+1+0)#+1:03.1
11.0#29#Joanna Jakieła#Poland#38:22.9#2 (0+1+0+1)#+1:04.8
12.0#2#Maren Kirkeeide#Norway#38:23.4#4 (1+1+0+2)#+1:05.3
13.0#28#Marthe Kråkstad Johansen#Norway#38:22.5#1 (0+0+0+1)#+1:05.4
14.0#6#Lora Hristova#Bulgaria#38:40.0#2 (0+0+0+2)#+1:21.9
15.0#25#Natalia Sidorowicz#Poland#38:44.0#2 (1+0+1+0)#+1:25.9
16.0#4#Lou Jeanmonnot#France#38:47.7#3 (0+0+1+2)#+1:29.6
17.0#30#Janina Hettich-Walz#Germany#38:59.7#4 (0+0+2+2)#+1:41.6
18.0#3#Lisa Vittozzi#Italy#39:01.6#4 (1+1+0+2)#+1:43.5
19.0#7#Suvi Minkkinen#Finland#39:05.1#1 (0+0+1+0)#+1:47.0
20.0#19#Milena Todorova#Bulgaria#39:14.4#5 (0+1+1+3)#+1:56.3
21.0#14#Amy Baserga#Switzerland#39:31.2#3 (1+0+1+1)#+2:13.1
22.0#27#Baiba Bendika#Latvia#39:49.8#5 (3+1+1+0)#+2:31.7
23.0#23#Estere Volfa#Latvia#39:50.1#4 (0+0+2+2)#+2:32.0
24.0#17#Lea Meier#Switzerland#40:18.4#4 (0+0+2+2)#+3:00.3
25.0#18#Linn Gestblom#Sweden#40:23.0#5 (0+2+1+2)#+3:04.9
26.0#15#Lisa Theresa Hauser#Austria#40:26.5#5 (3+1+1+0)#+3:08.4
27.0#11#Justine Braisaz-Bouchet#France#40:30.3#6 (0+2+2+2)#+3:12.2
28.0#13#Franziska Preuß#Germany#40:50.5#7 (1+1+4+1)#+3:32.4
29.0#26#Anne de Besche#Denmark#41:18.2#2 (0+0+1+1)#+4:00.1
30.0#22#Kamila Żuk#Poland#43:27.5#10 (2+3+3+2)#+6:09.4
