rank#bib#name#country#time#penalties_(p+p+s+s)#deficit
<NA>#10#Johannes Dale-Skjevdal#Norway#39:17.1#0 (0+0+0+0)#<NA>
<NA>#6#Sturla Holm Lægreid#Norway#39:27.6#1 (0+0+1+0)#+10.5
<NA>#2#Quentin Fillon Maillet#France#39:42.7#4 (1+0+2+1)#+25.6
4.0#16#Philipp Horn#Germany#39:52.6#1 (0+0+0+1)#+35.5
5.0#5#Vetle Sjåstad Christiansen#Norway#41:05.2#3 (0+0+2+1)#+1:48.1
6.0#27#Michal Krčmář#Czech Republic#41:20.7#5 (0+0+1+4)#+2:03.6
7.0#12#Philipp Nawrath#Germany#41:22.4#5 (0+1+1+3)#+2:05.3
8.0#1#Johan-Olav Botn#Norway#41:24.5#5 (1+2+0+2)#+2:07.4
9.0#21#Otto Invenius#Finland#41:41.8#5 (0+0+3+2)#+2:24.7
10.0#20#Vitalii Mandzyn#Ukraine#41:47.8#5 (0+0+2+3)#+2:30.7
11.0#26#Joscha Burkhalter#Switzerland#41:49.1#2 (1+0+1+0)#+2:32.0
12.0#7#Émilien Jacquelin#France#41:56.7#6 (0+1+4+1)#+2:39.6
13.0#24#Sebastian Stalder#Switzerland#42:07.0#1 (0+0+1+0)#+2:49.9
14.0#14#Olli Hiidensalo#Finland#42:09.0#4 (0+1+2+1)#+2:51.9
15.0#15#Tuomas Harjula#Finland#42:16.0#3 (0+0+2+1)#+2:58.9
16.0#19#Jakov Fak#Slovenia#42:23.2#1 (0+0+1+0)#+3:06.1
17.0#17#Dmytro Pidruchnyi#Ukraine#42:31.7#5 (2+0+2+1)#+3:14.6
18.0#9#Sebastian Samuelsson#Sweden#42:52.1#4 (0+2+1+1)#+3:35.0
19.0#18#Vítězslav Hornig#Czech Republic#42:56.0#5 (2+0+1+2)#+3:38.9
20.0#4#Éric Perrot#France#43:01.5#7 (1+2+3+1)#+3:44.4
21.0#3#Martin Ponsiluoma#Sweden#43:03.8#7 (2+3+1+1)#+3:46.7
22.0#22#Tero Seppälä#Finland#43:10.1#7 (0+3+2+2)#+3:53.0
23.0#23#David Zobel#Germany#43:49.5#7 (0+2+4+1)#+4:32.4
24.0#29#Niklas Hartweg#Switzerland#44:07.5#6 (1+1+3+1)#+4:50.4
25.0#13#Lukas Hofer#Italy#44:09.5#8 (1+1+4+2)#+4:52.4
26.0#30#Jesper Nelin#Sweden#44:17.3#7 (0+1+3+3)#+5:00.2
27.0#25#Fabien Claude#France#45:13.7#9 (3+1+4+1)#+5:56.6
28.0#28#Nicola Romanin#Italy#45:14.0#8 (2+2+2+2)#+5:56.9
29.0#11#Campbell Wright#United States#45:14.0#7 (0+1+5+1)#+5:56.9
<NA>#8#Tommaso Giacomel#Italy#DNF#(0+0+ + )#<NA>
