rank#pair#lane#name#country#time#time_behind
<NA>#13#I#Jordan Stolz#United States#33.77#<NA>
<NA>#13#O#Jenning de Boo#Netherlands#33.88#0.11
<NA>#10#I#Laurent Dubreuil#Canada#34.26#0.49
4.0#14#I#Damian Żurek#Poland#34.35#0.58
5.0#14#O#Sebas Diniz#Netherlands#34.461#0.69
6.0#9#I#Tatsuya Shinhama#Japan#34.466#0.69
7.0#12#O#Gao Tingyu#China#34.47#0.7
8.0#9#O#Marek Kania#Poland#34.48#0.71
9.0#11#O#Yevgeniy Koshkin#Kazakhstan#34.56#0.79
10.0#15#I#Wataru Morishige#Japan#34.62#0.85
11.0#8#O#Xue Zhiwen#China#34.66#0.89
12.0#12#I#Kim Jun-ho#South Korea#34.68#0.91
13.0#15#O#Bjørn Magnussen#Norway#34.72#0.95
14.0#7#I#Lian Ziwen#China#34.76#0.99
15.0#5#I#Koo Kyung-min#South Korea#34.8#1.03
16.0#5#O#Anders Johnson#Canada#34.81#1.04
17.0#3#O#Jeffrey Rosanelli#Italy#34.82#1.05
18.0#11#I#Marten Liiv#Estonia#34.83#1.06
19.0#8#I#Katsuhiro Kuratsubo#Japan#34.85#1.08
20.0#4#O#Nil Llop#Spain#34.86#1.09
21.0#6#O#Joep Wennemars#Netherlands#34.89#1.12
22.0#10#O#Cooper McLeod#United States#34.9#1.13
23.0#7#O#Cédrick Brunet#Canada#34.95#1.18
24.0#6#I#Piotr Michalski#Poland#35.1#1.33
25.0#2#I#Moritz Klein#Germany#35.21#1.44
26.0#2#O#Henrik Fagerli Rukke#Norway#35.36#1.59
27.0#4#I#Zach Stoppelmoor#United States#35.42#1.65
28.0#3#I#Hendrik Dombek#Germany#35.46#1.69
29.0#1#I#Ignaz Gschwentner#Austria#36.07#2.3
