rank#pair#lane#name#country#time#time_behind
<NA>#14#I#Jordan Stolz#United States#1:06.28#<NA>
<NA>#14#O#Jenning de Boo#Netherlands#1:06.78#+0.50
<NA>#12#O#Ning Zhongyan#China#1:07.34#+1.06
4#15#O#Damian Żurek#Poland#1:07.41#+1.13
5#11#I#Joep Wennemars#Netherlands#1:07.58#+1.30
6#10#O#Kjeld Nuis#Netherlands#1:07.65#+1.37
7#5#O#Daniele Di Stefano#Italy#1:08.17#+1.89
8#5#I#Laurent Dubreuil#Canada#1:08.21#+1.93
9#12#I#Conor McDermott-Mostowy#United States#1:08.48#+2.20
10#4#I#Koo Kyung-min#South Korea#1:08.53#+2.25
11#6#I#Kim Min-seok#Hungary#1:08.59#+2.31
12#13#I#Finn Sonnekalb#Germany#1:08.80#+2.52
13#10#I#Taiyo Nonomura#Japan#1:08.87#+2.59
14#15#I#Marten Liiv#Estonia#1:09.06#+2.78
15#7#I#Moritz Klein#Germany#1:09.195#+2.91
16#8#I#Hendrik Dombek#Germany#1:09.198#+2.91
17#7#O#Mathias Vosté#Belgium#1:09.199#+2.91
18#3#O#David La Rue#Canada#1:09.310#+3.03
19#13#O#Cooper McLeod#United States#1:09.319#+3.03
20#6#O#Kazuya Yamada#Japan#1:09.381#+3.10
21#4#O#Bjørn Magnussen#Norway#1:09.384#+3.10
22#2#I#Anders Johnson#Canada#1:09.54#+3.26
23#8#O#Marek Kania#Poland#1:09.58#+3.30
24#3#I#Wataru Morishige#Japan#1:09.85#+3.57
25#9#O#Piotr Michalski#Poland#1:10.02#+3.74
26#1#I#Francesco Betti#Italy#1:10.18#+3.90
27#2#O#Daniel Milagros#Spain#1:11.25#+4.97
<NA>#11#O#Lian Ziwen#China#Disqualified#Disqualified
<NA>#9#I#Gabriel Odor#Austria#Disqualified#Disqualified
