rank#pair#lane#name#country#time#time_behind
<NA>#14#O#Antoinette Rijpma-de Jong#Netherlands#1:54.09#<NA>
<NA>#13#O#Ragne Wiklund#Norway#1:54.15#0.06
<NA>#10#O#Valérie Maltais#Canada#1:54.40#0.31
4.0#14#I#Brittany Bowe#United States#1:54.70#0.61
5.0#1#I#Femke Kok#Netherlands#1:54.79#0.7
6.0#15#O#Miho Takagi#Japan#1:54.865#0.77
7.0#11#I#Elizaveta Golubeva#Kazakhstan#1:54.868#0.77
8.0#12#I#Ivanie Blondin#Canada#1:54.93#0.84
9.0#11#O#Han Mei#China#1:54.97#0.88
10.0#7#I#Marijke Groenewoud#Netherlands#1:55.16#1.07
11.0#12#O#Kaitlyn McGregor#Switzerland#1:55.39#1.3
12.0#13#I#Nadezhda Morozova#Kazakhstan#1:55.76#1.67
13.0#9#O#Francesca Lollobrigida#Italy#1:56.51#2.42
14.0#15#I#Nikola Zdráhalová#Czech Republic#1:56.93#2.84
15.0#7#O#Natalia Czerwonka#Poland#1:56.96#2.87
16.0#5#I#Jeannine Rosner#Austria#1:57.24#3.15
17.0#4#I#Béatrice Lamarche#Canada#1:57.65#3.56
18.0#6#I#Lea Sophie Scholz#Germany#1:57.68#3.59
19.0#8#O#Yin Qi#China#1:57.75#3.66
20.0#10#I#Isabelle van Elst#Belgium#1:57.82#3.73
21.0#5#O#Park Ji-woo#South Korea#1:58.26#4.17
22.0#9#I#Ayano Sato#Japan#1:58.36#4.27
23.0#2#I#Ellia Smeding#Great Britain#1:58.40#4.31
24.0#2#O#Arina Ilyachshenko#Kazakhstan#1:58.43#4.34
25.0#3#I#Aurora Grinden Løvås#Norway#1:58.77#4.68
26.0#6#O#Momoka Horikawa#Japan#1:59.33#5.24
27.0#4#O#Li Jiaxuan#China#1:59.36#5.27
28.0#3#O#Lim Lee-won#South Korea#1:59.73#5.64
29.0#8#I#Greta Myers#United States#1:59.81#5.72
