rank#pair#lane#name#country#time#time_behind
<NA>#15#O#Femke Kok#Netherlands#36.49#<NA>
<NA>#12#I#Jutta Leerdam#Netherlands#37.15#0.66
<NA>#4#O#Miho Takagi#Japan#37.27#0.78
4.0#10#O#Serena Pergher#Italy#37.3#0.81
5.0#15#I#Erin Jackson#United States#37.32#0.83
6.0#13#O#Kaja Ziomek-Nogal#Poland#37.39#0.9
7.0#9#O#Béatrice Lamarche#Canada#37.53#1.04
8.0#12#O#Sophie Warmuth#Germany#37.75#1.26
9.0#7#O#Rio Yamada#Japan#37.78#1.29
10.0#13#I#Lee Na-hyun#South Korea#37.86#1.37
11.0#8#O#Andżelika Wójcik#Poland#37.914#1.42
11.0#11#O#Chen Ying-chu#Chinese Taipei#37.914#1.42
13.0#14#O#Yukino Yoshida#Japan#37.98#1.49
14.0#10#I#Kim Min-sun#South Korea#38.01#1.52
15.0#14#I#Anna Boersma#Netherlands#38.013#1.52
16.0#8#I#Tian Ruining#China#38.14#1.65
17.0#11#I#Martyna Baran#Poland#38.15#1.66
18.0#9#I#Kristina Silaeva#Kazakhstan#38.33#1.84
19.0#5#I#Brooklyn McDougall#Canada#38.36#1.87
20.0#6#I#Julie Nistad Samsonsen#Norway#38.37#1.88
21.0#7#I#Carolina Hiller#Canada#38.38#1.89
22.0#4#I#Wang Jingziqian#China#38.57#2.08
23.0#5#O#Fran Vanhoutte#Belgium#38.63#2.14
24.0#3#I#Maybritt Vigl#Italy#38.66#2.17
25.0#1#I#Ellia Smeding#Great Britain#38.93#2.44
26.0#2#I#Nikola Zdráhalová#Czech Republic#39.0#2.51
27.0#6#O#Anna Ostlender#Germany#39.02#2.53
28.0#2#O#Sarah Warren#United States#39.19#2.7
29.0#3#O#Arina Ilyachshenko#Kazakhstan#39.38#2.89
