rank#bib#athlete#country#time#deficit#note
1.0#8#Linn Svahn#Sweden#3:36.21#<NA>#Q
2.0#24#Jonna Sundling#Sweden#3:37.24#+1.03#Q
3.0#28#Johanna Hagström#Sweden#3:38.85#+2.64#Q
4.0#6#Jasmi Joensuu#Finland#3:39.64#+3.43#Q
5.0#4#Nadine Fähndrich#Switzerland#3:39.87#+3.66#Q
6.0#11#Nicole Monsorno#Italy#3:39.97#+3.76#Q
7.0#18#Maja Dahlqvist#Sweden#3:41.47#+5.26#Q
8.0#17#Caterina Ganz#Italy#3:42.13#+5.92#Q
9.0#20#Federica Cassol#Italy#3:42.48#+6.27#Q
10.0#26#Johanna Matintalo#Finland#3:42.80#+6.59#Q
11.0#23#Mélissa Gal#France#3:43.39#+7.18#Q
12.0#9#Milla Grosberghaugen Andreassen#Norway#3:44.18#+7.97#Q
13.0#22#Jasmin Kähärä#Finland#3:45.12#+8.91#Q
14.0#31#Julie Bjervig Drivenes#Norway#3:45.25#+9.04#Q
15.0#27#Amanda Saari#Finland#3:45.34#+9.13#Q
16.0#14#Kristine Stavås Skistad#Norway#3:45.48#+9.27#Q
17.0#12#Laura Gimmler#Germany#3:45.81#+9.60#Q
18.0#36#Julie Pierrel#France#3:46.22#+10.01#Q
19.0#2#Iris De Martin Pinter#Italy#3:46.30#+10.09#Q
20.0#30#Jessie Diggins#United States#3:46.67#+10.46#Q
21.0#19#Sofie Krehl#Germany#3:46.81#+10.60#Q
22.0#25#Ingrid Bergene Aabrekk#Norway#3:46.94#+10.73#Q
23.0#10#Anja Weber#Switzerland#3:47.27#+11.06#Q
24.0#16#Coletta Rydzek#Germany#3:47.80#+11.59#Q
25.0#15#Kateřina Janatová#Czech Republic#3:47.84#+11.63#Q
26.0#5#Sammy Smith#United States#3:47.97#+11.76#Q
27.0#47#Heidi Bucher#Austria#3:48.73#+12.52#Q
28.0#29#Julia Kern#United States#3:48.77#+12.56#Q
29.0#13#Lea Fischer#Switzerland#3:48.82#+12.61#Q
30.0#41#Lauren Jortberg#United States#3:49.23#+13.02#Q
31.0#3#Alina Meier#Switzerland#3:50.85#+14.64#<NA>
32.0#48#Anna Pryce#Great Britain#3:50.88#+14.67#<NA>
33.0#33#Monika Skinder#Poland#3:51.10#+14.89#<NA>
34.0#43#Justine Gaillard#France#3:51.37#+15.16#<NA>
35.0#7#Magdalena Scherz#Austria#3:51.41#+15.20#<NA>
36.0#34#Dariya Nepryaeva#Individual Neutral Athletes#3:51.60#+15.39#<NA>
37.0#39#Izabela Marcisz#Poland#3:51.73#+15.52#<NA>
38.0#49#Clémence Didierlaurent#France#3:51.93#+15.72#<NA>
39.0#50#Katherine Sauerbrey#Germany#3:52.42#+16.21#<NA>
40.0#1#Mariel Merlii Pulles#Estonia#3:52.44#+16.23#<NA>
41.0#44#Anna Marie Jaklová#Czech Republic#3:52.91#+16.70#<NA>
42.0#45#Aleksandra Kołodziej#Poland#3:54.37#+18.16#<NA>
43.0#51#Jasmine Drolet#Canada#3:54.63#+18.42#<NA>
44.0#42#Alison Mackie#Canada#3:55.46#+19.25#<NA>
45.0#40#Sonjaa Schmidt#Canada#3:55.55#+19.34#<NA>
