rank#bib#name#country#time#behind
<NA>#7#Franjo von Allmen#Switzerland#1:25.32#<NA>
<NA>#3#Ryan Cochran-Siegle#United States#1:25.45#+0.13
<NA>#10#Marco Odermatt#Switzerland#1:25.60#+0.28
4.0#1#Nils Allègre#France#1:25.63#+0.31
5.0#8#Raphael Haaser#Austria#1:25.89#+0.57
6.0#9#Giovanni Franzoni#Italy#1:25.95#+0.63
7.0#15#Vincent Kriechmayr#Austria#1:26.10#+0.78
8.0#12#Fredrik Møller#Norway#1:26.12#+0.80
9.0#14#Stefan Rogentin#Switzerland#1:26.14#+0.82
10.0#6#Alexis Monney#Switzerland#1:26.22#+0.90
11.0#4#Christof Innerhofer#Italy#1:26.50#+1.18
12.0#19#Adrian Smiseth Sejersted#Norway#1:26.51#+1.19
13.0#18#Miha Hrobat#Slovenia#1:26.53#+1.21
14.0#16#Marco Schwarz#Austria#1:26.68#+1.36
15.0#25#Alban Elezi Cannaferina#France#1:26.77#+1.45
16.0#2#James Crawford#Canada#1:26.85#+1.53
17.0#5#Jan Zabystřan#Czech Republic#1:26.87#+1.55
17.0#20#Cameron Alexander#Canada#1:26.87#+1.55
17.0#28#Simon Jocher#Germany#1:26.87#+1.55
20.0#22#Martin Čater#Slovenia#1:26.99#+1.67
21.0#11#Stefan Babinsky#Austria#1:27.04#+1.72
22.0#27#Brodie Seger#Canada#1:27.08#+1.76
23.0#21#Sam Morse#United States#1:27.12#+1.80
24.0#17#Mattia Casse#Italy#1:27.41#+2.09
25.0#24#Elian Lehto#Finland#1:27.85#+2.53
26.0#29#Kyle Negomir#United States#1:28.62#+3.30
28.0#31#Tiziano Gravier#Argentina#1:29.06#+3.74
27.0#32#Simen Sellæg#Norway#1:28.63#+3.31
29.0#34#Anton Grammel#Germany#1:29.39#+4.07
30.0#40#Arnaud Alessandria#Monaco#1:30.13#+4.81
31.0#36#Andrej Drukarov#Lithuania#1:30.34#+5.02
32.0#41#Emeric Guerillot#Portugal#1:31.43#+6.11
33.0#35#Barnabás Szőllős#Israel#1:31.64#+6.32
34.0#37#Denni Xhepa#Albania#1:31.34#+6.40
35.0#38#Elvis Opmanis#Latvia#1:32.05#+6.73
36.0#39#Dmytro Shepiuk#Ukraine#1:33.16#+7.84
37.0#42#Cormac Comerford#Ireland#1:34.58#+9.26
<NA>#13#Dominik Paris#Italy#DNF#<NA>
<NA>#23#River Radamus#United States#DNF#<NA>
<NA>#26#Nils Alphand#France#DNF#<NA>
<NA>#30#Riley Seger#Canada#DNF#<NA>
<NA>#33#Marco Pfiffner#Liechtenstein#DNF#<NA>
