rank#bib#name#country#time#behind
<NA>#6#Federica Brignone#Italy#1:23.41#<NA>
<NA>#15#Romane Miradoli#France#1:23.82#0.41
<NA>#10#Cornelia Hütter#Austria#1:23.93#0.52
4.0#12#Ariane Rädler#Austria#1:23.94#0.53
5.0#13#Kajsa Vickhoff Lie#Norway#1:24.17#0.76
5.0#2#Laura Pirovano#Italy#1:24.17#0.76
7.0#11#Elena Curtoni#Italy#1:24.18#0.77
8.0#16#Camille Cerutti#France#1:24.44#1.03
8.0#14#Alice Robinson#New Zealand#1:24.44#1.03
10.0#1#Malorie Blanc#Switzerland#1:24.65#1.24
11.0#5#Corinne Suter#Switzerland#1:24.80#1.39
12.0#20#Laura Gauché#France#1:25.02#1.61
13.0#22#Jacqueline Wiles#United States#1:25.40#1.99
14.0#31#Barbora Nováková#Czech Republic#1:25.58#2.17
15.0#18#Keely Cashman#United States#1:25.61#2.2
16.0#27#Elvedina Muzaferija#Bosnia and Herzegovina#1:25.85#2.44
17.0#28#Delia Durrer#Switzerland#1:25.95#2.54
18.0#26#Maryna Gąsienica-Daniel#Poland#1:26.07#2.66
19.0#29#Julia Pleshkova#Individual Neutral Athletes#1:26.32#2.91
20.0#38#Alena Labaštová#Czech Republic#1:27.94#4.53
21.0#40#Rebeka Jančová#Slovakia#1:28.51#5.1
22.0#39#Nicole Begué#Argentina#1:28.68#5.27
23.0#30#Rosa Pohjolainen#Finland#1:29.18#5.77
24.0#33#Elisa Maria Negri#Czech Republic#1:29.21#5.8
25.0#41#Alexandra Skorokhodova#Kazakhstan#1:31.22#7.81
26.0#43#Sarah Schleper#Mexico#1:31.37#7.96
<NA>#3#Kira Weidle-Winkelmann#Germany#DNF#<NA>
<NA>#4#Mirjam Puchner#Austria#DNF#<NA>
<NA>#7#Emma Aicher#Germany#DNF#<NA>
<NA>#8#Ester Ledecká#Czech Republic#DNF#<NA>
<NA>#9#Sofia Goggia#Italy#DNF#<NA>
<NA>#17#Ilka Štuhec#Slovenia#DNF#<NA>
<NA>#19#Breezy Johnson#United States#DNF#<NA>
<NA>#21#Mary Bocock#United States#DNF#<NA>
<NA>#23#Nina Ortlieb#Austria#DNF#<NA>
<NA>#24#Janine Schmitt#Switzerland#DNF#<NA>
<NA>#25#Valérie Grenier#Canada#DNF#<NA>
<NA>#32#Jordina Caminal#Andorra#DNF#<NA>
<NA>#34#Cassidy Gray#Canada#DNF#<NA>
<NA>#35#Francesca Baruzzi Farriol#Argentina#DNF#<NA>
<NA>#36#Anastasiya Shepilenko#Ukraine#DNF#<NA>
<NA>#37#Matilde Schwencke#Chile#DNF#<NA>
<NA>#42#Kiana Kryeziu#Kosovo#DNF#<NA>
