rank#heat#country#athletes#time#notes
1#1#Netherlands#Selma Poutsma Xandra Velzeboer Jens van 't Wout Melle van 't Wout#2:36.517#Q
2#1#Italy#Elisa Confortola Arianna Fontana Pietro Sighel Luca Spechenhauser#2:36.581#Q
3#1#Poland#Natalia Maliszewska Michal Niewinski Felix Pigeon Kamila Sellier#2:40.955#<NA>
4#1#Hungary#Wonjun Moon Bence Nogradi Maja Dora Somodi Diana Laura Vegi#2:41.327#<NA>
1#2#South Korea#Choi Min-jeong Kim Gil-li Rim Jong-un Shin Dong-min#2:39.337#Q
2#2#United States#Andrew Heo Brandon Kim Kristen Santos-Griswold Corinne Stoddard#2:43.894#Q
3#2#France#Etienne Bastier Berenice Comby Quentin Fercoq Cloe Ollivier#2:46.871#ADV
<NA>#2#Japan#Rika Kanai Shogo Miyata Mirei Nakashima Kazuki Yoshinaga#PEN#<NA>
1#3#Canada#Florence Brunelle William Dandjinou Félix Roussel Courtney Sarault#2:39.034#Q
2#3#China#Gong Li Lim Hyo-jun Sun Long Zhang Chutong#2:39.193#Q
3#3#Belgium#Hanne Desmet Stijn Desmet Tineke den Dulk Ward Pétré#2:39.932#q
4#3#Kazakhstan#Abzal Azhgaliyev Yana Khan Denis Nikisha Olga Tikhonova#2:42.199#<NA>
