date#time_(cst)#opponent#tv#venue
March 1#1:00 p.m.#Oregon*#D1Baseball#Las Vegas Ballpark • Las Vegas, Nevada
March 3#4:30 p.m.#vs Central Arkansas*#SECN+#Hawkins Field • Nashville, Tennessee
March 4#3:00 p.m.#vs Troy*#SECN+#Hawkins Field • Nashville, Tennessee
March 6#TBD#vs North Dakota State*#SECN+#Hawkins Field • Nashville, Tennessee
March 7#TBD#vs North Dakota State*#SECN+#Hawkins Field • Nashville, Tennessee
March 8#TBD#vs North Dakota State*#SECN+#Hawkins Field • Nashville, Tennessee
March 10#TBD#vs Indiana State*#TBD#Hawkins Field • Nashville, Tennessee
March 13#TBD#vs LSU#TBD#Hawkins Field • Nashville, Tennessee
March 14#TBD#vs LSU#TBD#Hawkins Field • Nashville, Tennessee
March 15#TBD#vs LSU#TBD#Hawkins Field • Nashville, Tennessee
March 17#TBD#vs Indiana*#TBD#Hawkins Field • Nashville, Tennessee
March 20#TBD#at Mississippi State#TBD#Dudy Noble Field • Starkville, Mississippi
March 21#TBD#at Mississippi State#TBD#Dudy Noble Field • Starkville, Mississippi
March 22#TBD#at Mississippi State#TBD#Dudy Noble Field • Starkville, Mississippi
March 24#TBD#vs Tennessee Tech*#TBD#Hawkins Field • Nashville, Tennessee
March 27#TBD#vs Tennessee#TBD#Hawkins Field • Nashville, Tennessee
March 28#TBD#vs Tennessee#TBD#Hawkins Field • Nashville, Tennessee
March 29#TBD#vs Tennessee#TBD#Hawkins Field • Nashville, Tennessee
March 31#TBD#vs Belmont*#TBD#Hawkins Field • Nashville, Tennessee
