pos#driver#flo#points
1#Brandon Ward#1*#48
2#Danny Bohn#3#41
3#Jack Baldwin#2#39
4#Joey Braun#4#37
5#Ryan Newman#5#36
6#Burt Myers#6#35
7#Jake Crum#10#35
8#Slate Myers#7#34
9#Chris Pasteryak#8#33
10#Sean McElearney#9#32
11#Carter McMurray#11#30
12#Joey Coulter#12#29
13#Austin McDaniel#13#28
14#William Lambros#14#27
15#Max Handley#15#26
16#Jimmy Wallace#16#25
17#Daniel Yates#17#24
18#Hermie Sadler#18#23
19#Jonathan Cash#19#22
20#John-Michael Shenette#20#21
21#Jim Gavek#21#20
22#Steve Zacharias#22#19
23#Jason Tutterow#23#18
24#Luke Baldwin#24#17
Pos#Driver#FLO#Points
