starters:#starters:.1#starters:.2#pts#reb#ast
PG#11#Kasper Suurorg#12#5#7
SG#0#Paul Scruggs#16#4#4
SF#13#Mindaugas Kačinas#19#7#2
PF#33#Kenny Goins#13#6#3
C#12#Mikołaj Witliński#11#6#1
Reserves:#Reserves:#Reserves:#<NA>#<NA>#<NA>
SF#3#Szymon Kiejzik#3#0#0
SF#7#Szymon Nowicki#0#0#0
C#21#Szymon Zapała#14#6#1
C#25#Maksymilian Jęch#DNP#DNP#DNP
G#37#Dylan Addae-Wusu#3#1#5
SG#91#Franciszek Chac#DNP#DNP#DNP
Head coach:#Head coach:#Head coach:#Head coach:#Head coach:#Head coach:
Mikko Larkas#Mikko Larkas#Mikko Larkas#Mikko Larkas#Mikko Larkas#Mikko Larkas
