rank#player#club#goals
1#Enzo Célestine#Kelantan The Real Warriors#2
1#Douglas Coutinho#Penang#2
1#Fadhil Idris#Perak#2
1#Fergus Tierney#Sabah#2
5#Babacar Guèye#Immigration#1
5#Eduardo Sosa#Immigration#1
5#Asraff Aliffuddin#Kelantan The Real Warriors#1
5#Azwan Aripin#Kelantan The Real Warriors#1
5#Danial Haqim#Kelantan The Real Warriors#1
5#Farris Izdiham#Kelantan The Real Warriors#1
5#Fakhrul Azim#PDRM#1
5#Stefano Brundo#Penang#1
5#Dylan Wenzel-Halls#Penang#1
5#Shamie Iszuan#Penang#1
5#OJ Porteria#Penang#1
5#Amirul Aiman#Perak#1
5#Hafizy Daniel#Perak#1
5#Dane Ingham#Sabah#1
5#Shafizi Iqmal#UM-Damansara United#1
5#Wan Kuzri#UM-Damansara United#1
