april:_0–0_(home:_0–0;_away:_0–0;_neutral:_0–0)_date#april:_0–0_(home:_0–0;_away:_0–0;_neutral:_0–0)_tv#april:_0–0_(home:_0–0;_away:_0–0;_neutral:_0–0)_opponent#april:_0–0_(home:_0–0;_away:_0–0;_neutral:_0–0)_stadium
April 2#<NA>#at California#Evans Diamond Berkeley, CA
April 3#<NA>#at California#Evans Diamond
April 4#<NA>#at California#Evans Diamond
April 7#ACCNX#Kennesaw State*#Russ Chandler Stadium
April 9#ACCN#Florida State#Russ Chandler Stadium
April 10#ACCNX#Florida State#Russ Chandler Stadium
April 11#ACCNX#Florida State#Russ Chandler Stadium
April 14#ACCNX#Georgia Southern*#Russ Chandler Stadium
April 17#<NA>#at North Carolina#Boshamer Stadium Chapel Hill, NC
April 18#ACCN#at North Carolina#Boshamer Stadium
April 19#ACCN#at North Carolina#Boshamer Stadium
Children's Healthcare of Atlanta Spring Baseball Classic#Children's Healthcare of Atlanta Spring Baseball Classic#Children's Healthcare of Atlanta Spring Baseball Classic#Children's Healthcare of Atlanta Spring Baseball Classic
April 21#<NA>#vs. Georgia*#Truist Park Cumberland, GA
April 24#ACCNX#Wake Forest#Russ Chandler Stadium
April 25#ACCN#Wake Forest#Russ Chandler Stadium
April 26#ACCNX#Wake Forest#Russ Chandler Stadium
April 28#<NA>#at Kennesaw State#Fred Stillwell Stadium Kennesaw, GA
