date#time_(et)#tv#opponent#stadium
March 1#1:00 p.m.#ACCNX#Central Michigan#Jim Patterson Stadium Louisville, KY
March 3#3:00 p.m.#ACCNX#Morehead State#Jim Patterson Stadium Louisville, KY
March 6#3:00 p.m.#ACCNX#Seton Hall#Jim Patterson Stadium Louisville, KY
March 7#1:00 p.m.#ACCNX#Seton Hall#Jim Patterson Stadium Louisville, KY
March 8#1:00 p.m.#ACCNX#Seton Hall#Jim Patterson Stadium Louisville, KY
March 10#3:00 p.m.#ACCNX#Marshall#Jim Patterson Stadium Louisville, KY
March 11#11:00 a.m.#ACCNX#Marshall#Jim Patterson Stadium Louisville, KY
March 13#6:00 p.m.#ACCNX#Notre Dame#Jim Patterson Stadium Louisville, KY
March 14#6:00 p.m.#ACCNX#Notre Dame#Jim Patterson Stadium Louisville, KY
March 15#1:00 p.m.#ACCNX#Notre Dame#Jim Patterson Stadium Louisville, KY
March 17#6:00 p.m.#ACCNX#Northern Kentucky#Jim Patterson Stadium Louisville, KY
March 20#8:00 p.m.#ACCN#North Carolina#Boshamer Stadium Chapel Hill, NC
March 21#2:00 p.m.#ACCNX#North Carolina#Boshamer Stadium Chapel Hill, NC
March 22#1:00 p.m.#ACCNX#North Carolina#Boshamer Stadium Chapel Hill, NC
March 24#7:00 p.m.#ESPN+#Western Kentucky#Nick Denes Field Bowling Green, KY
March 27#6:00 p.m.#ACCNX#Pittsburgh#Jim Patterson Stadium Louisville, KY
March 28#2:00 p.m.#ACCNX#Pittsburgh#Jim Patterson Stadium Louisville, KY
March 29#1:00 p.m.#ACCNX#Pittsburgh#Jim Patterson Stadium Louisville, KY
