date#time_(cst)#opponent#tv#venue
March 1#2:00 p.m.#vs Ohio State*#YouTube#Daikin Park • Houston, Texas
March 3#6:30 p.m.#Houston Christian*#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 6#6:30 p.m.#USC Upstate*#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 7#2:00 p.m.#USC Upstate*#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 8#12:00 p.m.#USC Upstate*#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 10#6:00 p.m.#at Texas State*#SECN+#Bobcat Ballpark • San Marcos, Texas
March 13#6:30 p.m.#Ole Miss#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 14#2:30 p.m.#Ole Miss#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 15#1:00 p.m.#Ole Miss#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 17#6:30 p.m.#Tarleton State*#SECN+#UFCU Disch–Falk Field • Austin, Texas
March 20#6:00 p.m.#at Auburn#SECN+#Plainsman Park • Auburn, Alabama
March 21#6:00 p.m.#at Auburn#SECN+#Plainsman Park • Auburn, Alabama
March 22#2:00 p.m.#at Auburn#SECN+#Plainsman Park • Auburn, Alabama
March 24#6:30 p.m.#at Houston*#ESPN+#Schroeder Park • Houston, Texas
March 26#7:00 p.m.#vs Oklahoma#SECN#UFCU Disch–Falk Field • Austin, Texas
March 27#7:00 p.m.#vs Oklahoma#SECN#UFCU Disch–Falk Field • Austin, Texas
March 28#4:00 p.m.#vs Oklahoma#SECN#UFCU Disch–Falk Field • Austin, Texas
March 31#6:30 p.m.#Texas State*#SECN+#UFCU Disch–Falk Field • Austin, Texas
