unnamed:_0#pos#driver#points
<NA>#1#Tyler Reddick#125
6#2#Bubba Wallace#85 (–40)
<NA>#3#Chase Elliott#81 (–44)
5#4#Carson Hocevar#74 (–51)
1#5#Zane Smith#71 (–54)
4#6#Joey Logano#68 (–57)
5#7#Daniel Suárez#67 (–58)
2#8#Ryan Blaney#67 (–58)
3#9#Brad Keselowski#61 (–64)
3#10#Chris Buescher#61 (–64)
12#11#Ross Chastain#52 (–73)
4#12#Noah Gragson#50 (–75)
5#13#William Byron#50 (–75)
10#14#Ryan Preece#49 (–76)
22#15#Chase Briscoe#45 (–80)
12#16#Shane van Gisbergen#44 (–81)
Official driver's standings#Official driver's standings#Official driver's standings#Official driver's standings
