rank#name#nation#lap_points#sprint_points#finish_order#total_points
<NA>#Moritz Augenstein Roger Kluge#Germany#40#45#9#85
<NA>#Iúri Leitão Diogo Narciso#Portugal#20#35#4#55
<NA>#Jasper De Buyst Jules Hesters#Belgium#0#38#1#38
4.0#Yoeri Havik Vincent Hoppezak#Netherlands#0#32#3#32
5.0#Simone Consonni Juan David Sierra#Italy#0#31#2#31
6.0#Lasse Norman Leth Robin Juel Skivild#Denmark#0#19#5#19
7.0#Benjamin Thomas Valentin Tabellion#France#0#14#10#14
8.0#Matyáš Koblížek Milan Kadlec#Czech Republic#0#1#8#1
9.0#Matteo Constant Noah Bögli#Switzerland#0#1#11#1
10.0#Oliver Wood Mark Stewart#Great Britain#−20#15#6#−5
11.0#Daniel Staniszewski Alan Banaszek#Poland#−60#0#7#−60
12.0#Álvaro Navas Héctor Álvarez#Spain#−20#0#<NA>#DNF
12.0#Maximilian Schmidbauer Franz-Josef Lässer#Austria#0#0#<NA>#DNF
12.0#Nejc Peterlin Maj Flajs#Slovenia#−20#0#<NA>#DNF
12.0#Vitaliy Hryniv Roman Gladysh#Ukraine#−20#0#<NA>#DNF
12.0#Mustafa Tarakcı Emre Kaplan#Turkey#−20#0#<NA>#DNF
12.0#Daniel Crista Mihnea Harasim#Romania#−20#0#<NA>#DNF
