fin#st##driver#team#make#laps#led#status#pts
1#10#38#Chandler Smith#Front Row Motorsports#Ford#102#8#Running#65
2#9#17#Gio Ruggiero#Tricon Garage#Toyota#102#0#Running#35
3#11#91#Christian Eckes#McAnally–Hilgemann Racing#Chevrolet#102#1#Running#46
4#1#88#Ty Majeski#ThorSport Racing#Ford#102#5#Running#45
5#19#62#John Hunter Nemechek (i)#Halmar Friesen Racing#Toyota#102#10#Running#0
6#30#45#Ricky Stenhouse Jr. (i)#Niece Motorsports#Chevrolet#102#0#Running#0
7#22#12#Brenden Queen (R)#Kaulig Racing#Ram#102#0#Running#32
8#7#11#Kaden Honeycutt#Tricon Garage#Toyota#102#1#Running#34
9#6#18#Tyler Ankrum#McAnally–Hilgemann Racing#Chevrolet#102#0#Running#28
10#24#52#Stewart Friesen#Halmar Friesen Racing#Toyota#102#0#Running#27
11#25#5#Nick Leitz#Tricon Garage#Toyota#102#3#Running#31
12#27#99#Ben Rhodes#ThorSport Racing#Ford#102#0#Running#26
13#28#44#Andrés Pérez de Lara#Niece Motorsports#Chevrolet#102#0#Running#24
14#23#13#Cole Butcher (R)#ThorSport Racing#Ford#102#0#Running#23
15#13#42#Travis Pastrana#Niece Motorsports#Chevrolet#102#1#Running#22
16#33#33#Frankie Muniz#Team Reaume#Ford#102#0#Running#21
17#31#10#Daniel Dye#Kaulig Racing#Ram#102#0#Running#20
18#17#95#Clay Greenfield#GK Racing#Chevrolet#102#0#Running#19
19#37#14#Mini Tyrrell (R)#Kaulig Racing#Ram#102#0#Running#18
20#29#22#Josh Reaume#Team Reaume#Ford#102#0#Running#17
21#34#76#Spencer Boyd#Freedom Racing Enterprises#Chevrolet#102#0#Running#16
22#16#16#Justin Haley#Kaulig Racing#Ram#102#20#Running#15
23#3#15#Tanner Gray#Tricon Garage#Toyota#102#11#Running#23
24#2#7#Michael McDowell (i)#Spire Motorsports#Chevrolet#101#20#Running#0
25#26#81#Kris Wright#McAnally–Hilgemann Racing#Chevrolet#101#0#Running#12
26#32#19#Daniel Hemric#McAnally–Hilgemann Racing#Chevrolet#101#0#Running#12
27#20#26#Dawson Sutton#Rackley W.A.R.#Chevrolet#101#0#Running#10
28#14#1#Taylor Gray (i)#Tricon Garage#Toyota#101#0#Running#0
29#5#9#Grant Enfinger#CR7 Motorsports#Chevrolet#100#0#Running#9
30#21#97#Jason Kitzmiller#CR7 Motorsports#Chevrolet#100#0#Running#7
31#35#34#Layne Riggs#Front Row Motorsports#Ford#98#2#Running#15
32#8#98#Jake Garcia#ThorSport Racing#Ford#98#0#Running#5
33#36#2#Jason White#Team Reaume#Ford#98#0#Running#4
