player#team#gp#toi#w#l#sa#ga#sv%#gaa
Neea Pohjamo#Ilves#2#120:00#2#0#42#2#95.2#1.0
Lilia Huovinen#Kuortane#1#57:16#0#1#36#3#91.7#3.14
Tiia Pajarinen#K-Espoo#1#60:00#1#0#12#1#91.7#1.0
Kati Asikainen#Kärpät#2#120:00#1#1#83#7#91.6#3.5
Minja Drufva#K-Espoo#1#60:00#1#0#11#1#90.9#1.0
Anni Keisala#HPK#2#119:06#1#1#43#4#90.7#2.02
Tiina Ranne#TPS#1#67:49#0#1#43#4#90.7#3.54
Miia Vainio#TPS#1#60:00#0#1#41#4#90.2#4.0
Kerttu Kuja-Halkola#Kuortane#1#58:06#0#1#30#3#90.0#3.1
Lilli Packalen#HIFK#2#127:49#2#0#42#6#85.7#2.82
Salla Sivula#KalPa#1#49:07#0#1#41#6#85.4#7.33
Annika Saastamoinen#KalPa#2#70:53#0#1#60#9#85.0#7.62
