march_(0–0)_date#march_(0–0)_opponent#march_(0–0)_site/stadium
March 1#Southern Indiana#Mike D. Lane Field at Bank Independent Stadium Florence, AL
March 4#Ole Miss#Swayze Field Oxford, MS
March 6#Southern Miss#Pete Taylor Park Hattiesburg, MS
March 7#Southern Miss#Pete Taylor Park Hattiesburg, MS
March 8#Southern Miss#Pete Taylor Park Hattiesburg, MS
March 10#Jacksonville State#Mike D. Lane Field at Bank Independent Stadium Florence, AL
March 13#Lipscomb#Dugan Field Nashville, TN
March 14#Lipscomb#Dugan Field Nashville, TN
March 15#Lipscomb#Dugan Field Nashville, TN
March 17#Tennessee Tech#Mike D. Lane Field at Bank Independent Stadium Florence, AL
March 20#Eastern Kentucky#Mike D. Lane Field at Bank Independent Stadium Florence, AL
March 21#Eastern Kentucky#Mike D. Lane Field at Bank Independent Stadium Florence, AL
March 22#Eastern Kentucky#Mike D. Lane Field at Bank Independent Stadium Florence, AL
March 27#Bellarmine#Knights Field Louisville, KY
March 28#Bellarmine#Knights Field Louisville, KY
March 29#Bellarmine#Knights Field Louisville, KY
March 31#UAB#Young Memorial Field Birmingham, AL
