system#locale#type#length#opened#notes
Ambaji ropeway#Gabbar Hill, Gujarat#Monocabled gondola#363 m (1,191 ft)#1998#Opened windows.
Auli ropeway#Joshimath, Uttarakhand#Aerial tramway#4,150 m (13,620 ft)#1993#Glass windows.
Bambleshwari Temple ropeway#Dongargarh, Chattisgarh#Bi-cabled gondola lift#387 m (1,270 ft)#2021#Glass windows.
Bhaleydhunga ropeway#Namchi district, Sikkim#Monocable gondola lift#3,500 m (11,500 ft)#2024#Glass windows.
Bhatta falls ropeway#Mussoorie, Uttarakhand#Monocable gondola lift#308 m (1,010 ft)#2019#<NA>
Bheraghat ropeway#Bhedaghat, Madhya Pradesh#Monocable gondola lift#600 m (2,000 ft)#2025#Glass windows.
Bhopal ropeway#Mahaveer Giri, Madhya Pradesh#Monocable gondola lift#600 m (2,000 ft)#<NA>#Glass windows.
Chandi devi ropeway#Haridwar, Uttarakhand#Monocable gondola lift#740 m (2,430 ft)#1997#Glass windows.
Chitrakoot ropeway#Chitrakoot, Madhya Pradesh#Monocable gondola lift#302 m (991 ft)#<NA>#Opened windows.
Darjeeling Ropeway#Darjeeling, West Bengal#Monocable gondola lift#5,000 m (16,000 ft)[a]#1968#Glass windows. India's first ropeway.
Dewas ropeway#Dewas, Madhya Pradesh#Monocable gondola lift#367 m (1,204 ft)#2017#Glass windows.
Dhandayuthapani Swamy Temple ropeway#Palani, Tamil Nadu#Monocable gondola lift#323 m (1,060 ft)#2004#Open windows.
Digha ropeway#Digha, West Bengal#Monocable gondola lift#194 m (636 ft)#2015#Glass windows.
Gangtok ropeway#Gangtok, Sikkim#Monocable gondola lift#1,600 m (5,200 ft)#2003#Glass windows. Plans to convert into urban ropeway.
Girnar ropeway#Mount Girnar, Gujarat#Monocable gondola lift#2,300 m (7,500 ft)#2020#Glass windows.
Gulmarg Gondola#Gulmarg, Jammu and Kashmir#Monocable gondola lift#4,631 m (15,194 ft)[b]#1998#Ski resort gondola lift; Glass windows.
Gun Hill ropeway#Mussoorie, Uttarakhand#Aerial tramway#400 m (1,300 ft)#1971#Glass windows. India's first aerial tramway.
Hirakud Dam ropeway#Hirakud, Odisha#Monocable gondola lift#412 m (1,352 ft)#<NA>#Glass windows.
Jammu ropeway#Jammu, Jammu and Kashmir#Monocable gondola lift#1,660 km (1,030 mi)#2020#Glass windows.
Jakhu Temple ropeway#Shimla, Himachal Pradesh#Aerial tramway#600 m (2,000 ft)#2017#Glass windows.
Kailasagiri ropeway#Visakhapatnam, Andhra Pradesh#Monocable gondola lift#375 m (1,230 ft)#2004#Glass windows.
Kolkata Science City ropeway#Kolkata, West Bengal#Monocable gondola lift#400 m (1,300 ft)#1998#Opened windows.
Laxman Pahadi ropeway#Chitrakoot district, Uttar Pradesh#Monocable gondola lift#256 m (840 ft)#2019#Glass windows.
Maa Sharda ropeway#Maihar, Madhya Pradesh#Monocable gondola lift#760 m (2,490 ft)#<NA>#Glass windows.
Madan Negi ropeway#Sandana, Uttarakhand#Aerial trmaway#995 m (3,264 ft)#<NA>#Caged windows.
