rank#nation#gold#silver#bronze#total
1#Japan (JPN)#6#4#4#14
2#Brazil (BRA)#2#1#3#6
3#International Judo Federation (IJF)#1#3#2#6
4#France (FRA)#1#1#4#6
5#Serbia (SRB)#1#1#2#4
6#Georgia (GEO)#1#0#0#1
6#Netherlands (NED)#1#0#0#1
6#Switzerland (SUI)#1#0#0#1
6#Tajikistan (TJK)#1#0#0#1
10#Uzbekistan (UZB)#0#1#5#6
11#Germany (GER)#0#1#3#4
12#Kazakhstan (KAZ)#0#1#0#1
12#Spain (ESP)#0#1#0#1
12#Venezuela (VEN)#0#1#0#1
15#Azerbaijan (AZE)#0#0#1#1
15#Croatia (CRO)#0#0#1#1
15#Great Britain (GBR)#0#0#1#1
15#India (IND)#0#0#1#1
15#Israel (ISR)#0#0#1#1
15#Italy (ITA)#0#0#1#1
15#United States (USA)#0#0#1#1
Totals (21 entries)#Totals (21 entries)#15#15#30#60
