rank#nation#gold#silver#bronze#total
1#Azerbaijan (AZE)#6#0#3#9
2#Japan (JPN)#2#0#0#2
3#Brazil (BRA)#1#3#9#13
4#France (FRA)#1#1#2#4
5#Italy (ITA)#1#1#1#3
6#Croatia (CRO)#1#1#0#2
7#Israel (ISR)#1#0#2#3
8#United States (USA)#1#0#0#1
9#Finland (FIN)#0#2#1#3
9#Spain (ESP)#0#2#1#3
11#Czech Republic (CZE)#0#2#0#2
12#Canada (CAN)#0#1#0#1
12#Germany (GER)#0#1#0#1
14#Belgium (BEL)#0#0#2#2
14#Slovenia (SLO)#0#0#2#2
14#Ukraine (UKR)#0#0#2#2
17#Chile (CHI)#0#0#1#1
17#Great Britain (GBR)#0#0#1#1
17#Venezuela (VEN)#0#0#1#1
Totals (19 entries)#Totals (19 entries)#14#14#28#56
