rank[1]_rank#country_country#number_of_teams_vac#number_of_teams_total#qualified_teams_qualified_teams
1#Italy#3#3#Itas Trentino
1#Italy#3#3#Cucine Lube Civitanova
1#Italy#3#3#Sir Sicoma Monini Perugia
2#Poland#3+1#4#Bogdanka LUK Lublin
2#Poland#3+1#4#Aluron CMC Warta Zawiercie
2#Poland#3+1#4#PGE Projekt Warsaw
2#Poland#3+1#4#Asseco Resovia (WC)
4#Germany#2#2#Berlin Recycling Volleys
4#Germany#2#2#SVG Lüneburg
5#Turkey#2+1#3#Ziraat Bank Ankara
5#Turkey#2+1#3#Galatasaray HDI Sigorta
5#Turkey#2+1#3#Halkbank Ankara (WC)
6#Belgium#2#2#Knack Roeselare
6#Belgium#2#2#Volley Haasrode Leuven
7#France#1+1#2#Tours VB
7#France#1+1#2#Montpellier Volley (WC)
8#Czech Republic#1#1#Lvi Praha
9#Portugal#1#1#Sporting CP
