place#player#country#score#to_par
1#Hiroshi Hirahara Tai#Singapore#65#−7
2#Christiaan Maas#South Africa#66#−6
3#Carlos Astiazaran#Mexico#68#−4
T4#Eduardo Derbez#Mexico#69#−3
T4#Filip Fahlberg Johnsson#Sweden#69#−3
T4#Timotej Formánek#Czech Republic#69#−3
T4#Michael Mjaaseth#Norway#69#−3
T8#Oscar Couilleau#France#70#−2
T8#Erich Fortlage#Paraguay#70#−2
T8#Hugo Le Goff#France#70#−2
T8#Ashton McCulloch#Canada#70#−2
T8#Declan O'Donovan#Australia#70#−2
T8#Nevill Ruiter#Netherlands#70#−2
T8#Parin Sarasmut#Thailand#70#−2
