rank##cyclist#nation
<NA>#1#Tadej Pogačar#Slovenia
<NA>#31#Remco Evenepoel#Belgium
<NA>#7#Paul Seixas#France
4#15#Christian Scaroni#Italy
5#56#Toms Skujiņš#Latvia
6#24#Juan Ayuso#Spain
7#39#Mattias Skjelmose#Denmark
8#58#Pavel Sivakov#France
9#23#Gianmarco Garofoli#Italy
10#10#Romain Gregoire#France
11#64#Marco Frigo#Italy
12#21#Nicolas Prodhomme#France
13#44#Tiesj Benoot#Belgium
14#16#Louis Vervaeke#Belgium
15#66#Felix Großschartner#Austria
16#34#Aurélien Paret-Peintre#France
17#81#Mats Wenzel#Luxembourg
DNF#2#Tilen Finkšt#Slovenia
DNF#29#Diego Ulissi#Italy
DNF#30#Alex Baudin#France
DNF#31#Julien Bernard#France
DNF#33#Valentin Paret-Peintre#France
DNF#38#Huub Artz#Netherlands
DNF#39#Tibor del Grosso#Netherlands
DNF#3#Matevž Govekar#Slovenia
DNF#4#Matej Mohorič#Slovenia
DNF#40#Daan Hoole#Netherlands
DNF#41#Menno Huising#Netherlands
DNF#42#Mathijs Paasschens#Netherlands
DNF#44#Igor Arrieta#Spain
DNF#46#Abel Balderstone#Spain
DNF#49#Pablo Torres#Spain
DNF#50#João Almeida#Portugal
DNF#51#Rui Costa#Portugal
DNF#53#Tiago Antunes#Portugal
DNF#54#Johannes Adamietz#Germany
DNF#55#Miguel Heidemann#Germany
DNF#60#Nils Brun#Switzerland
DNF#61#Jan Christen#Switzerland
DNF#62#Valentin Darbellay#Switzerland
DNF#63#Marc Hirschi#Switzerland
DNF#65#Arnaud Tendon#Switzerland
DNF#68#Mathias Vacek#Czechia
DNF#69#Jakub Ťoupalík#Czechia
DNF#70#Jakub Kaczmarek#Poland
DNF#71#Danny van der Tuuk#Poland
DNF#72#Markus Pajur#Estonia
DNF#73#Lukáš Kubiš#Slovakia
DNF#74#Martin Svrček#Slovakia
DNF#75#Kristiāns Belohvoščiks#Latvia
