date_regular_season#time_regular_season#opponent_regular_season#site_regular_season#tv_regular_season
October 3#7:15 pm#Merrimack#Tsongas Center • Lowell, Massachusetts#ESPN+
October 10#7:00 pm#at Merrimack#J. Thom Lawler Rink • North Andover, Massachusetts#ESPN+
October 17#7:15 pm#2 Western Michigan*#Tsongas Center • Lowell, Massachusetts#ESPN+
October 18#6:05 pm#2 Western Michigan*#Tsongas Center • Lowell, Massachusetts#ESPN+
October 24#7:00 pm#at Mercyhurst*#Mercyhurst Ice Center • Erie, Pennsylvania#FloHockey
October 25#4:00 pm#at Mercyhurst*#Mercyhurst Ice Center • Erie, Pennsylvania#FloHockey
October 31#7:00 pm#at 16 Providence#Schneider Arena • Providence, Rhode Island#ESPN+
November 1#6:05 pm#16 Providence#Tsongas Center • Lowell, Massachusetts#ESPN+
November 7#7:15 pm#New Hampshire#Tsongas Center • Lowell, Massachusetts#ESPN+
November 8#7:00 pm#at New Hampshire#Whittemore Center • Durham, New Hampshire#ESPN+
November 14#7:00 pm#at Union*#M&T Bank Center • Schenectady, New York#ESPN+
November 15#4:00 pm#at Rensselaer*#Houston Field House • Troy, New York#ESPN+
Adirondack Winter Invitational#Adirondack Winter Invitational#Adirondack Winter Invitational#Adirondack Winter Invitational#Adirondack Winter Invitational
November 28#7:30 pm#vs. Clarkson*#Herb Brooks Arena • Lake Placid, New York (Adirondack Game 1)#ESPN+
November 29#4:00 pm#vs. St. Lawrence*#Herb Brooks Arena • Lake Placid, New York (Adirondack Game 2)#ESPN+
December 5#7:15 pm#Boston College#Tsongas Center • Lowell, Massachusetts#ESPN+
December 6#7:00 pm#at Boston College#Conte Forum • Chestnut Hill, Massachusetts#ESPN+
December 10#7:00 pm#vs. Maine#Cross Insurance Arena • Portland, Maine#ESPN+
December 28#3:30 pm#Bentley#Tsongas Center • Lowell, Massachusetts (Exhibition)#ESPN+
Coachella Valley Cactus Cup#Coachella Valley Cactus Cup#Coachella Valley Cactus Cup#Coachella Valley Cactus Cup#Coachella Valley Cactus Cup
January 2#6:30 pm#vs. Minnesota State*#Acrisure Arena • Thousand Palms, California (Cactus Cup Semifinal)#<NA>
January 3#TBD#vs. St. Cloud State / Yale*#Acrisure Arena • Thousand Palms, California (Cactus Cup)#<NA>
January 9#7:00 pm#at Connecticut#PeoplesBank Arena • Hartford, Connecticut#ESPN+
January 10#6:05 pm#Connecticut#Tsongas Center • Lowell, Massachusetts#ESPN+
January 16#7:00 pm#at Boston University#Agganis Arena • Boston, Massachusetts#ESPN+
January 17#6:05 pm#Boston University#Tsongas Center • Lowell, Massachusetts#ESPN+
January 23#7:15 pm#Maine#Tsongas Center • Lowell, Massachusetts#ESPN+
