number#chapter#location#status
1.0#San Francisco#San Francisco, California#Active
2.0#Oakland#Oakland, California#Active
3.0#Linda Strauss#Los Angeles, California#<NA>
4.0#Machar#Harrisburg, Pennslyvania#Active
5.0#Highland Park#Los Angeles, California#<NA>
6.0#Judah#Worcester, Massachusetts#<NA>
7.0#<NA>#Lancaster, Pennsylvania#<NA>
8.0#Ramah#Chicago, Illinois#<NA>
9.0#<NA>#Pottsville, Pennsylvania#<NA>
10.0#<NA>#Homestead, Pennsylvania#<NA>
14.0#L'Olam#Miami, Florida#Active
18.0#Shemesh#Cherry Hill, New Jersey#Active
25.0#Sharm El Sheikh#New Jersey#<NA>
28.0#Sameach#<NA>#<NA>
39.0#Wexler Clark#Savannah, Georgia#Active
40.0#Saadia#Overland Park, Kansas#Active
41.0#Yachad#Livingston, New Jersey#<NA>
43.0#B'Yachad Shelia Greenwald#Indianapolis, Indiana#Active
45.0#Shimron#Florida#<NA>
53.0#Shana#Ohio#<NA>
58.0#Vered Hazakah#Aventura, Florida#Active
63.0#BBG#Houston, Texas#Active
73.0#SC. Fidelity#California#<NA>
85.0#Lev Kesef#Cleveland, Ohio#Active
87.0#Dayenu#Pittsburgh, Pennsylvania#Active
103.0#Eden#Scarsdale, New York#Active
106.0#San Pedro#California#<NA>
109.0#Hannah Shenesh#San Rafael, California#Inactive
111.0#Gal Chadash#San Diego, California#Active
124.0#Achva#West Hartford, Connecticut#Active
133.0#Harry S. Albert#Peterson, New Jersey#<NA>
134.0#B'Yachad#Tampa, Florida#Active
140.0#Shashona#California#<NA>
143.0#<NA>#Charleston, South Carolina#<NA>
145.0#Rosedale#New York City, New York#<NA>
156.0#Emunah#West Bloomfield, Michigan#Active
158.0#Galim#Rockville, Maryland#Active
159.0#Yachad#Washington, D.C.#Active
163.0#Rubin-Gilbert#Fort Worth, Texas#<NA>
165.0#N'shama Hyatt#Denver, Colorado#Active
180.0#Ahavah#Harrison, New York#Active
186.0#Magic City#Birmingham, Alabama#Active
201.0#V'ruach#Denver, Colorado#Active
221.0#Alton Silver#Fort Worth, Texas#Inactive
<NA>#Arthur Balfour#Fort Worth, Texas#Consolidated
<NA>#Samuel Gompers#Fort Worth, Texas#Consolidated
233.0#Ruach#New England#<NA>
243.0#Nona Bloch Salomon#Tulsa, Oklahoma#Active
247.0#Ha'ela#West Palm Beach, Florida#Active
252.0#B'yachad#Denver, Colorado#Active
