name#race#sex#date_of_execution#county_or_city#crime#victim(s)#governor
Reuben#Black#M#May 3, 1830#Henry#Murder#Frederick, black#John Floyd
Henry#Black#M#June 25, 1830#Franklin#Attempted rape#<NA>#John Floyd
Wheeler#White#M#July 16, 1830#Chesterfield#Murder#Male, white[6][a]#John Floyd
Daniel#Black#M#July 30, 1830#City of Richmond#Murder#James Drummond, white#John Floyd
John M. Jones#White#M#August 16, 1830#City of Lynchburg#Murder#George Hamilton, white#John Floyd
Charles Young#White#M#November 26, 1830#Caroline#Murder#Thomas Griffin Thornton, white#John Floyd
Dick#Black#M#July 29, 1831#Loudoun#Rape#Pleasant Cole, white#John Floyd
Daniel#Black#M#September 5, 1831#Southampton#Slave revolt#<NA>#John Floyd
Moses#Black#M#September 5, 1831#Southampton#Slave revolt#<NA>#John Floyd
Davy#Black#M#September 9, 1831#Southampton#Slave revolt#<NA>#John Floyd
Nat#Black#M#September 9, 1831#Southampton#Slave revolt#<NA>#John Floyd
Nelson#Black#M#September 9, 1831#Southampton#Slave revolt#<NA>#John Floyd
Davy#Black#M#September 12, 1831#Southampton#Slave revolt#<NA>#John Floyd
Jack#Black#M#September 12, 1831#Southampton#Slave revolt#<NA>#John Floyd
Nathan#Black#M#September 21, 1831#Southampton#Slave revolt#<NA>#John Floyd
Dred#Black#M#September 21, 1831#Southampton#Slave revolt#<NA>#John Floyd
Curtis#Black#M#September 21, 1831#Southampton#Slave revolt#<NA>#John Floyd
Stephen#Black#M#September 21, 1831#Southampton#Slave revolt#<NA>#John Floyd
Sam#Black#M#September 21, 1831#Southampton#Slave revolt#<NA>#John Floyd
Hark#Black#M#September 21, 1831#Southampton#Slave revolt#<NA>#John Floyd
Jack Niles#Black#M#September 23, 1831#City of Suffolk#Slave revolt#<NA>#John Floyd
Ned#Black#M#September 23, 1831#Sussex#Slave revolt#<NA>#John Floyd
Solomon#Black#M#September 23, 1831#Sussex#Slave revolt#<NA>#John Floyd
Nicholas#Black#M#September 23, 1831#Sussex#Slave revolt#<NA>#John Floyd
Booker#Black#M#September 23, 1831#Sussex#Slave revolt#<NA>#John Floyd
Jarrett#Black#M#October 14, 1831#Spotsylvania#Murder#Rose and Jarrett, child (Jarrett), black#John Floyd
Ned#Black#M#October 21, 1831#Sussex#Slave revolt#<NA>#John Floyd
Solomon#Black#M#October 21, 1831#Sussex#Slave revolt#<NA>#John Floyd
Nicholas#Black#M#October 21, 1831#Sussex#Slave revolt#<NA>#John Floyd
Booker#Black#M#October 21, 1831#Sussex#Slave revolt#<NA>#John Floyd
Joe#Black#M#October 24, 1831#Southampton#Slave revolt#<NA>#John Floyd
Lucy#Black#F#October 24, 1831#Southampton#Slave revolt#<NA>#John Floyd
