0#1#2#3#4
87.84% reporting#87.84% reporting#87.84% reporting#87.84% reporting#87.84% reporting
Candidate#Candidate#Party#Votes#%
<NA>#Nasry Asfura#National Party#1130493#40.21
<NA>#Salvador Nasralla#Liberal Party#1110088#39.48
<NA>#Rixi Moncada#Liberty and Refoundation#542947#19.31
<NA>#Nelson Ávila#Innovation and Unity Party#23374#0.83
<NA>#Mario Rivera#Christian Democratic Party#4878#0.17
Total#Total#Total#2811780#100.00
Valid votes#Valid votes#Valid votes#2811780#94.59
Invalid votes#Invalid votes#Invalid votes#103576#3.48
Blank votes#Blank votes#Blank votes#57333#1.93
Total votes#Total votes#Total votes#2972689#100.00
Registered voters/turnout#Registered voters/turnout#Registered voters/turnout#6522577#45.58
Source: La Prensa#Source: La Prensa#Source: La Prensa#Source: La Prensa#Source: La Prensa
